,ABBV,AEP,AFL,ALL,BAC,BEN,BMY,C,CAT,CB,CFG,CL,COST,CSCO,CVX,D,DD,DE,DG,DOW,DUK,DVN,FANG,FITB,GIS,HBAN,HON,HPQ,IBM,IVZ,JNJ,JPM,KHC,KMB,KO,LLY,LMT,MCD,MKC,MMM,MO,MPC,MRK,NEE,NUE,O,ORCL,PEP,PFE,RF
ABBV,1.0,0.9979984480712605,0.9891090436940716,0.9978872793827922,-0.9704850475626252,-0.958272793038566,-0.03697567703528549,0.9936141384731967,0.9969055091642298,0.9970733853954744,0.43706478398825,-0.8843290275884366,0.9956875067727112,0.9831350222912985,0.9920857902739584,0.6780318578580529,0.9952017561145681,0.9969289405501502,0.9914934003925373,-0.9442948994939666,0.997646146157332,-0.9348209540801141,0.9918861187292329,0.9762773360524877,-0.9805907321855531,0.806091323679029,0.9945473369381024,-0.9749509218139435,0.9922969200017354,0.9787526988099975,0.99872543340935,0.9970131387448513,-0.9612808332239716,0.9932533511541327,0.31785684078694915,0.9980631270864609,0.9974418563130505,0.9972042284837744,-0.9756659429298612,0.996699997506366,0.9920967497232726,0.9964168317878036,0.9855889659270224,0.5996242198730481,0.9904149885250689,0.9960512164125237,0.9646020000627411,0.995259910146173,-0.9946948239590767,0.8765923641940612
AEP,0.9979984480712605,1.0,0.9945361485852089,0.999267277459698,-0.9786923312012353,-0.9673444356396447,-0.03370289446491781,0.9953374708113083,0.998801919035154,0.9992403005652406,0.42221807971357167,-0.8879866231372306,0.9988724049174815,0.9889906510713122,0.9966050509751859,0.7083401177959009,0.9975926799416166,0.9989945370149652,0.9925268836554213,-0.931064891451537,0.9997558016301307,-0.9236754865914186,0.9954079158244737,0.9687316691121708,-0.986097019740405,0.786104641362863,0.997913521231698,-0.9684696904595882,0.990838603228002,0.9805340563879085,0.9976193535319443,0.9990402823542263,-0.9705261722148006,0.9934339376079416,0.3263880724507804,0.9992894031582206,0.9993541182767285,0.9993670658915307,-0.977950552615371,0.9974276877779557,0.9918871955237508,0.9982552728254286,0.9891007704915984,0.6233929946691766,0.9954168957313885,0.9936258706159634,0.9736857291882549,0.9985028107005848,-0.9960672674791347,0.8656611472121336
AFL,0.9891090436940716,0.9945361485852089,1.0,0.9940607888182267,-0.985312027287241,-0.9751653326177887,0.021668017385968026,0.9869966282367726,0.991875543067018,0.9962658609057999,0.4065408737023341,-0.8813971742771394,0.9964849599458379,0.989561559129279,0.9976854574437063,0.7511821181306803,0.9922975445776415,0.9940414278337776,0.9838469408255223,-0.8976497872046068,0.9953187437732366,-0.8904191328499598,0.9925518658021977,0.9459012899804276,-0.9830678000734475,0.7393156374925366,0.9950795919949988,-0.946944521763475,0.9817578172991627,0.9744967383279317,0.9896918134748325,0.9933658555501185,-0.9750338707648285,0.9871517880156375,0.3785357869632017,0.9931002393721845,0.9949977381494262,0.9952181580822682,-0.9668802680563741,0.9886978046082295,0.9874872100353604,0.9943088350980804,0.9936122291823288,0.6751137593615999,0.9950064438061286,0.9845330133847193,0.9778273478931427,0.9967312550304264,-0.9883635119797517,0.8371172786616118
ALL,0.9978872793827922,0.999267277459698,0.9940607888182267,1.0,-0.9791436218766777,-0.9677796071956184,-0.041113965881552,0.9945770822233403,0.9981420492082084,0.9991959865900109,0.4139843387472548,-0.886839266748941,0.9985267512306865,0.9878510774543959,0.9962620329091979,0.7007080960242228,0.9967316315779667,0.9986756004412217,0.9922580982806006,-0.9322765845324861,0.9992587706957684,-0.9238584340757062,0.9955474954367057,0.9675722625684529,-0.9854560853632369,0.7838865301060175,0.9970045053932408,-0.968813920412094,0.9909388227336912,0.9783173266566417,0.997605414425018,0.9986986210921123,-0.9699486109413578,0.9931909431360076,0.3256567781513537,0.9991388458756195,0.9990561170678982,0.9991283141879326,-0.9779822870377085,0.9972246569761705,0.9920491828631925,0.9982739901073623,0.9871146675817439,0.6147414818185782,0.9941368901203412,0.9936407633928088,0.9732385767954823,0.9980976373926408,-0.9963423595258464,0.8620585391467188
BAC,-0.9704850475626252,-0.9786923312012353,-0.985312027287241,-0.9791436218766777,1.0,0.9834062495067282,0.01694570614658429,-0.9721492290436751,-0.9800509003062501,-0.9809319107948351,-0.284921668898814,0.8974627210419849,-0.9856789338366377,-0.9855003710172732,-0.988380778625422,-0.75965291431034,-0.9770959132239029,-0.9814664696400077,-0.9692193067694157,0.861207184170804,-0.9803307089097035,0.8579637008265449,-0.987078727018813,-0.9045288839837147,0.986089604149539,-0.6595911128070521,-0.9832059603344515,0.9223407118933024,-0.9626531988639382,-0.958351410817386,-0.9689116818028924,-0.9791700485666845,0.9829186753716227,-0.9630497028769136,-0.353992133368994,-0.9802172290507657,-0.9813089021476907,-0.9819188995392699,0.9689965429911399,-0.9749450804291686,-0.9690094809621561,-0.9811705019335173,-0.9743706364449913,-0.6631110388878027,-0.9860897041399771,-0.9574364735098916,-0.9836292712312034,-0.9837070992965783,0.9750455790266039,-0.7665114925829057
BEN,-0.958272793038566,-0.9673444356396447,-0.9751653326177887,-0.9677796071956184,0.9834062495067282,1.0,0.004219560182515467,-0.9577893617134544,-0.9662115813171591,-0.9696522268244154,-0.2912302635545569,0.8900899295683987,-0.9736832965842888,-0.9702965811527314,-0.9774049778364569,-0.7607976888529137,-0.9619344674149992,-0.9689374581191376,-0.9622552571168457,0.8472207244191957,-0.9690190367594292,0.8414528920625615,-0.9749764793212202,-0.8937147134184172,0.9686464099263737,-0.6541106522977301,-0.9700407543167012,0.9097608913573172,-0.950356078487525,-0.9307792537845021,-0.9568626312987087,-0.9665260916411974,0.969817150757662,-0.9535520823671524,-0.35018918635171936,-0.9673626463526436,-0.9686651628141608,-0.9698958372370223,0.9511657211597117,-0.9615181010960863,-0.9594683532360714,-0.9695619132672163,-0.9650479821780243,-0.6580773507359017,-0.9708028306052321,-0.9470370650692413,-0.9678648147559612,-0.9722105940971895,0.9632216551573888,-0.7625443180204895
BMY,-0.03697567703528549,-0.03370289446491781,0.021668017385968026,-0.041113965881552,0.01694570614658429,0.004219560182515467,1.0,-0.06525225203402191,-0.05338262516201911,-0.022642505722185506,0.2480603235547091,0.1994357262322957,-0.029063513799978534,-0.03406433040952523,-0.013238113073174854,0.3141382597047448,-0.04235209379718037,-0.04320828609276637,-0.039269165398045085,0.16778677651582086,-0.024568811083607096,0.17522903176717092,-0.05440008883662966,-0.0787465634110538,0.08210970113788271,-0.09215161756613027,-0.02695863955998516,0.13691737724560216,-0.030007138469784714,-0.026191664884510076,-0.032862711546178196,-0.049460809178638564,0.04995779877794156,-0.004866015256740198,0.5164264445858454,-0.04230983316553097,-0.032783130412562235,-0.0322618554195138,0.15062585616206534,-0.06376998010077245,0.00934515005561827,-0.04278149346616867,0.067086546798533,0.5151524332320192,-0.02132339649268584,-0.01630476289646084,-0.052358057882692266,-0.015165350810593819,0.08979089296508616,-0.004053355651115414
C,0.9936141384731967,0.9953374708113083,0.9869966282367726,0.9945770822233403,-0.9721492290436751,-0.9577893617134544,-0.06525225203402191,1.0,0.9967870330194194,0.9936673032352608,0.4166982973395593,-0.9016628247701143,0.9945499568640865,0.9882630773320885,0.9915513813395918,0.6899955283218381,0.9948786655716431,0.9962033672299117,0.9898735210628556,-0.9320726713572705,0.994263147860171,-0.9276521416304616,0.9933135294186058,0.9703074901563036,-0.9868636877479784,0.7936266256255564,0.9945392690729473,-0.9676972571356726,0.9893999731774679,0.9847007302368269,0.9915900550131802,0.9970743236596685,-0.9726921770010805,0.9854997254629246,0.27385330536419794,0.9960486575214886,0.9952852527623522,0.9950524969038388,-0.9844687731140089,0.9968373733543734,0.9826871783557216,0.9936228836489921,0.9784176839853062,0.5861906039519207,0.9930272651242933,0.9853948329519475,0.9776882423792219,0.993385399991582,-0.9920025729832372,0.8698748992672326
CAT,0.9969055091642298,0.998801919035154,0.991875543067018,0.9981420492082084,-0.9800509003062501,-0.9662115813171591,-0.05338262516201911,0.9967870330194194,1.0,0.9979006468652073,0.4100564558899975,-0.9013910001644649,0.9984287648582638,0.9910482994824016,0.9958162495637295,0.6996616596488009,0.9981189685907211,0.9994795528275258,0.9912780211022167,-0.9317253042834115,0.9984180815855225,-0.92629161832674,0.9961517625448287,0.9672277324743901,-0.9898587509028609,0.7828946923626632,0.9979139165520011,-0.9684226460217389,0.9891673749079645,0.9830804488259428,0.9958368770461626,0.9992278868552898,-0.9746383825229458,0.9900688929696485,0.29875653775536626,0.9992086699439189,0.9988082345585263,0.9986147328072681,-0.9837738191134473,0.9982515409893191,0.9886792494252264,0.9977678555701291,0.9854758426442257,0.6130139617392268,0.9959733400848851,0.9903956288660484,0.9773420012148069,0.9972604307187624,-0.99641295458425,0.860306448744331
CB,0.9970733853954744,0.9992403005652406,0.9962658609057999,0.9991959865900109,-0.9809319107948351,-0.9696522268244154,-0.022642505722185506,0.9936673032352608,0.9979006468652073,1.0,0.42248510580992393,-0.8862744117434103,0.9991479998105617,0.9889936736322342,0.9973295313667768,0.7086870321996562,0.9972731640863214,0.9986960392296835,0.9915888608377122,-0.927876095368939,0.9994549567695095,-0.9198495512556102,0.9949306739808558,0.9642625095589492,-0.9851664928292708,0.7763903475984688,0.9979986473725786,-0.9655824082229586,0.9908408516898629,0.9792041009042511,0.9975494761007695,0.9984432913552448,-0.9697743491877203,0.994112326027447,0.3408844036163717,0.9988907400323452,0.9994316990504093,0.9994889493353801,-0.9751307354505091,0.996128584192371,0.9915317013391161,0.9982683423396022,0.991244444991426,0.6327517307756735,0.9952286582352329,0.9931096392922036,0.9741034923307486,0.9990865368418081,-0.9961535563728341,0.8591209866535463
