ticker,date,close,score,ret_z,resid_z,vol_z,backend,mkt_dispersion_shock
KHC,2025-09-10,24.7,2.5095,2.0613,2.5095,0.2457,statistical,False
KHC,2025-10-15,25.75,2.5036,0.7669,2.5036,1.4977,statistical,False
KHC,2025-11-13,22.34,2.9669,-0.3107,-2.9669,1.2591,statistical,False
KHC,2025-11-14,22.13,3.4854,-0.3349,-3.4854,0.8013,statistical,False
KHC,2025-11-17,22.08,3.6419,0.3092,-3.6419,1.1463,statistical,False
KHC,2025-11-18,22.38,2.9549,1.6532,-2.9549,-0.7163,statistical,False
KHC,2025-11-19,22.49,2.7037,0.7922,-2.7037,0.948,statistical,False
KHC,2025-11-20,22.48,2.8436,0.3308,-2.8436,0.7823,statistical,False
KHC,2025-11-21,22.21,3.0063,-0.8369,-3.0063,1.11,statistical,False
KHC,2025-12-02,22.93,3.0249,3.0249,1.1505,-0.8547,statistical,False
KHC,2025-12-29,23.69,2.7402,0.8744,2.7402,-1.2142,statistical,False
KHC,2025-12-31,23.89,2.9049,0.7413,2.9049,0.3971,statistical,False
KHC,2026-01-01,23.87,2.6815,-0.2435,2.6815,-0.2631,statistical,False
KHC,2026-01-02,24.1,3.4365,0.6861,3.4365,0.2158,statistical,False
KHC,2026-01-14,24.32,3.1047,0.8269,3.1047,0.9929,statistical,False
KHC,2026-02-23,25.29,2.9891,0.6955,2.9891,-1.0799,statistical,False
KHC,2026-02-24,26.0,4.4452,1.9589,4.4452,-0.5953,statistical,False
KHC,2026-02-25,26.38,4.2167,0.8124,4.2167,-1.2418,statistical,False
KHC,2026-03-31,26.78,2.9791,1.235,2.9791,-0.5443,statistical,False
KHC,2026-04-01,26.83,2.9867,-0.0387,2.9867,1.3049,statistical,False
KHC,2026-04-02,26.97,3.1104,0.243,3.1104,0.4642,statistical,False
KHC,2026-04-03,27.31,3.6292,0.8934,3.6292,0.0644,statistical,False
KHC,2026-04-06,27.21,2.8363,-0.6049,2.8363,0.0345,statistical,False
KHC,2026-04-07,27.49,3.0866,0.6482,3.0866,0.3828,statistical,False
KHC,2026-05-06,26.08,2.5696,2.5696,-0.2601,-0.1439,statistical,False
KHC,2026-05-11,23.32,4.0562,-3.9413,-4.0562,-0.9157,statistical,False
KHC,2026-05-12,23.44,3.1799,0.3408,-3.1799,-0.2426,statistical,False
KHC,2026-05-13,23.57,2.7001,0.3299,-2.7001,-1.3035,statistical,False
KHC,2026-05-31,26.44,2.965,2.965,2.0347,1.2496,statistical,False
KHC,2026-06-22,27.5,3.0636,0.85,3.0636,1.0783,statistical,False
KHC,2026-06-23,27.83,3.4159,0.4467,3.4159,0.5509,statistical,False
KHC,2026-06-24,28.08,3.6185,0.2339,3.6185,-1.905,statistical,False
KHC,2026-06-25,28.72,4.2845,0.9522,4.2845,-0.6587,statistical,False
KHC,2026-06-26,29.27,4.1938,0.6694,4.1938,0.2303,statistical,False
