ticker,n_fail,roe_gap,roic_gap,de_gap,ev_gap,pb_gap,mca_gap,roe,roic,mktcap_to_assets,pb_ratio,ev_ebitda
HPQ,1,0.05000000000000002,0.0,0.19999999999999996,2.0,0.10000000000000009,-0.09999999999999998,0.2,0.15,0.6,1.4,7.0
AFL,1,0.010000000000000009,-0.03,0.6,0.5,0.0,0.35,0.16,0.12,0.15,1.5,8.5
CF,2,0.1,0.0,0.5,0.5,-1.2999999999999998,-0.804,0.25,0.15,1.304,2.8,8.5
MOS,2,-0.06999999999999999,-0.09,0.6,2.5,0.8,0.177,0.08,0.06,0.323,0.7,6.5
HMC,2,-0.06999999999999999,-0.09,0.5,2.5,0.9,0.26,0.08,0.06,0.24,0.6,6.5
CFG,2,-0.03,-0.04999999999999999,0.7,2.0,0.7,0.4,0.12,0.1,0.1,0.8,7.0
ASIX,2,-0.04999999999999999,-0.07999999999999999,0.4,2.5,0.6,0.15600000000000003,0.1,0.07,0.344,0.9,6.5
LXU,2,0.0,-0.04999999999999999,0.19999999999999996,2.0,0.19999999999999996,-0.10699999999999998,0.15,0.1,0.607,1.3,7.0
BAYRY,2,-0.09999999999999999,-0.10999999999999999,0.09999999999999998,1.5,0.5,0.267,0.05,0.04,0.233,1.0,7.5
SYF,2,0.03,-0.03,-0.19999999999999996,4.0,0.3999999999999999,0.35,0.18,0.12,0.15,1.1,5.0
VLO,2,0.05000000000000002,-0.03,0.6,4.0,0.0,-0.19999999999999996,0.2,0.12,0.7,1.5,5.0
STLD,2,0.05000000000000002,0.0,0.7,3.5,-0.30000000000000004,-0.6000000000000001,0.2,0.15,1.1,1.8,5.5
CAG,2,-0.04999999999999999,-0.07999999999999999,0.09999999999999998,0.5,0.3999999999999999,0.14800000000000002,0.1,0.07,0.352,1.1,8.5
FANG,2,0.010000000000000009,-0.03,0.6,4.0,0.10000000000000009,-0.4,0.16,0.12,0.9,1.4,5.0
DVN,2,0.03,-0.03,0.5,4.5,0.0,-0.4,0.18,0.12,0.9,1.5,4.5
TRV,3,-0.009999999999999981,-0.04999999999999999,0.7,0.0,-0.3999999999999999,0.07700000000000001,0.14,0.1,0.423,1.9,9.0
ICL,3,-0.03,-0.06999999999999999,0.30000000000000004,2.0,0.10000000000000009,-1.309,0.12,0.08,1.809,1.4,7.0
UAN,3,0.05000000000000002,-0.03,0.5,3.0,-1.0,-0.627,0.2,0.12,1.127,2.5,6.0
HON,3,0.13000000000000003,0.010000000000000009,0.19999999999999996,-7.0,-6.0,-1.654,0.28,0.16,2.154,7.5,16.0
IPI,3,-0.09999999999999999,-0.10999999999999999,0.7,0.0,0.30000000000000004,-0.33599999999999997,0.05,0.04,0.836,1.2,9.0
SMCI,3,0.15,0.07,0.8,-9.0,-2.7,-1.071,0.3,0.22,1.571,4.2,18.0
ANDE,3,-0.06999999999999999,-0.09,0.5,1.0,0.10000000000000009,-0.119,0.08,0.06,0.619,1.4,8.0
