ticker,view_excess_ret,confidence,regime,decision,leverage_flag,composite_score
RF,0.016,0.3,Stress,INCLUDE_CORE,cheap-assets,0.921
HPQ,0.01,0.225,Stress,INCLUDE_QUALITY,,0.7996
SMCI,0.01,0.225,Stress,INCLUDE_QUALITY,,0.5655
BLK,0.01,0.225,Stress,INCLUDE_QUALITY,,0.5962
MRK,0.01,0.225,Stress,INCLUDE_QUALITY,,0.5907
AFL,0.008,0.2,Stress,INCLUDE_VALUE,cheap-assets,0.8449
CAG,0.008,0.2,Stress,INCLUDE_VALUE,mixed-assets,0.6759
HMC,0.008,0.2,Stress,INCLUDE_VALUE,cheap-assets,0.7511
BAC,0.004,0.14,Stress,INCLUDE_VALUE,levered-assets,0.5825
C,-0.004,0.105,Stress,AVOID,levered-assets,0.3427
FMC,-0.004,0.105,Stress,AVOID,levered-assets,0.3147
SYF,-0.008,0.15,Stress,AVOID,low-MCA,0.348
D,-0.008,0.15,Stress,AVOID,,0.3288
DG,-0.008,0.15,Stress,AVOID,,0.3454
IBM,-0.008,0.15,Stress,AVOID,,0.3247
AMD,-0.008,0.15,Stress,AVOID,,0.3219
SCHW,-0.008,0.15,Stress,AVOID,,0.3199
BMY,-0.008,0.15,Stress,AVOID,,0.3185
PLD,-0.008,0.15,Stress,AVOID,,0.3146
TSLA,-0.008,0.15,Stress,AVOID,,0.3121
CTVA,-0.008,0.15,Stress,AVOID,,0.3114
FANG,-0.008,0.15,Stress,AVOID,,0.2836
NEE,-0.008,0.15,Stress,AVOID,,0.2796
RTX,-0.008,0.15,Stress,AVOID,,0.2736
VAL,-0.008,0.15,Stress,AVOID,,0.2517
TDW,-0.008,0.15,Stress,AVOID,,0.2353
VNQ,-0.008,0.15,Stress,AVOID,,0.2334
ENPH,-0.008,0.15,Stress,AVOID,,0.2238
TDG,-0.008,0.15,Stress,AVOID,,0.2052
PLTR,-0.008,0.15,Stress,AVOID,,0.1972
CRWD,-0.008,0.15,Stress,AVOID,,0.185
PSX,-0.008,0.15,Stress,AVOID,,0.1797
STM,-0.008,0.15,Stress,AVOID,,0.176
NOC,-0.008,0.15,Stress,AVOID,,0.11
XBI,-0.008,0.15,Stress,AVOID,,0.11
VUG,-0.008,0.15,Stress,AVOID,,0.11
ARKK,-0.008,0.15,Stress,AVOID,,0.11
SATS,-0.008,0.15,Stress,AVOID,,0.11
QQQ,-0.008,0.15,Stress,AVOID,,0.11
MPC,-0.008,0.15,Stress,AVOID,,0.11
MTSI,-0.008,0.15,Stress,AVOID,,0.11
ASTS,-0.008,0.15,Stress,AVOID,,0.11
MCHP,-0.008,0.15,Stress,AVOID,,0.11
AMAT,-0.008,0.15,Stress,AVOID,,0.11
BKSY,-0.008,0.15,Stress,AVOID,,0.11
GSAT,-0.008,0.15,Stress,AVOID,,0.11
VLO,-0.008,0.15,Stress,AVOID,,0.11
GD,-0.008,0.15,Stress,AVOID,,0.11
TTMI,-0.008,0.15,Stress,AVOID,,0.11
INTC,-0.008,0.15,Stress,AVOID,,0.11
IRDM,-0.008,0.15,Stress,AVOID,,0.11
SPCX,-0.008,0.15,Stress,AVOID,,0.11
LRCX,-0.008,0.15,Stress,AVOID,,0.11
BX,-0.008,0.15,Stress,AVOID,,0.11
RKLB,-0.008,0.15,Stress,AVOID,,0.11
STLD,-0.008,0.15,Stress,AVOID,,0.11
SEDG,-0.008,0.15,Stress,AVOID,,0.0738
BA,-0.008,0.15,Stress,AVOID,,0.0499
