ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,composite,rank,buy_score,action,regime,reasons
HPQ,Information Technology,INCLUDE_QUALITY,0.7996,0.2,0.15,7.0,1.4,0.6,,0.6794999607485257,-0.1114580201746846,0.2494425853633444,0.6896915556466647,0.3591549295774648,,,0.12,prefer_add,0.7878,9,0.87,BUY,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,high_factor_composite,aggregate_top,sp500_member,stress_regime_haircut"
MSFT,Information Technology,SATELLITE,0.5294,0.35,0.25,,7.59,6.715,,0.5772075802307116,-0.2505735706859785,0.361165909698138,0.3618228008162704,0.9647887323943662,True,Information Technology,0.05,hold,0.8373,4,0.65,BUY,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,aggregate_top,sp500_member,stress_regime_haircut"
CSCO,Information Technology,WATCH,0.4815,0.25,0.18,,9.21,4.5,,0.6695355171780559,0.757403708906613,0.1079340226498939,0.2596272284299316,0.8732394366197183,True,Information Technology,0.05,reduce_or_avoid,0.7661,12,0.57,BUY,high_vol_stress,"strong_momentum,positive_residual_mom,aggregate_top,sp500_member,stress_regime_haircut"
BAC,Financials,INCLUDE_VALUE,0.5825,0.1,0.08,9.0,1.2,0.103,levered-assets,0.3477008517543191,0.3038950461885354,0.2240354862885275,0.1901214841646583,0.8450704225352113,True,Financials,0.05,hold,0.7572,14,0.55,BUY,high_vol_stress,"value_trifecta,positive_momentum,positive_residual_mom,aggregate_top,levered_assets_flag,sp500_member,stress_regime_haircut"
KHC,Consumer Staples,SATELLITE,0.5106,0.06,0.05,,0.74,0.35,cheap-assets,0.4776100472064887,-0.0428211705481603,0.3685103099839882,0.3126201168978282,0.3380281690140845,True,Consumer Staples,0.05,hold,0.6361,36,0.53,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,positive_residual_mom,aggregate_strong,cheap_assets_flag,sp500_member,stress_regime_haircut"
RF,Financials,INCLUDE_CORE,0.921,0.15,0.15,7.5,1.1,0.12,cheap-assets,0.0410550353107764,0.2383064746723004,0.042090018823674,0.3543223993656435,0.3028169014084507,True,Financials,0.12,prefer_add,0.582,49,0.5,ACCUMULATE,high_vol_stress,"dual_pass_core,positive_momentum,cheap_assets_flag,sp500_member,stress_regime_haircut"
UNH,Health Care,WATCH,0.4582,0.25,0.18,,3.64,1.27,,0.8702708624053649,0.4117448190639359,0.0563071064131977,0.2855021024572421,0.8802816901408451,True,Health Care,0.05,reduce_or_avoid,0.6615,30,0.47,ACCUMULATE,high_vol_stress,"strong_momentum,positive_residual_mom,aggregate_strong,sp500_member,stress_regime_haircut"
FTNT,,INCLUDE_QUALITY,1.1999,1.367223260911611,1.035498046875,39.39099403153199,72.66655134502857,10.379501969875664,,2.31377281135826,0.6675226487853387,0.5566712682762693,,,,,0.12,prefer_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SNDK,,INCLUDE_QUALITY,0.5675,0.3271394352907019,0.3228741313847696,16.734630466680198,6.829306149723443,5.510240165431324,,5.297898228724293,41.20735486152825,0.1857789501380346,,,,,0.05,hold,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
BEN,Financials,WATCH,0.36,,,,1.44,0.35,low-MCA,0.5516333112951645,0.4320973730639419,0.2662239959075861,0.220781513556096,0.1478873239436619,,,0.03,reduce_or_avoid,0.8305,5,0.47,ACCUMULATE,high_vol_stress,"strong_momentum,positive_residual_mom,aggregate_top,low_liquidity,sp500_member,stress_regime_haircut"
ALL,Financials,WATCH,0.4947,0.12,0.09,,2.31,0.65,,0.6835075322753726,0.2253073171818642,0.1027312652791381,0.1367412668737582,0.4225352112676056,True,Financials,0.05,reduce_or_avoid,0.7299,18,0.47,ACCUMULATE,high_vol_stress,"strong_momentum,positive_residual_mom,aggregate_strong,sp500_member,stress_regime_haircut"
WST,,INCLUDE_QUALITY,1.7968,0.1889171292890107,0.1710625927383944,28.567033981215538,8.443718275191982,6.193800016308278,,0.5638173475635417,0.4984599887188456,0.1509748335587138,,,,,0.12,prefer_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
FFIV,,INCLUDE_QUALITY,1.1329,0.1940538281854736,0.1811550310581884,16.85228717163898,4.505035741683776,2.530440426208157,,0.6639390576826993,0.3630094940710944,0.1636875543844572,,,,,0.12,prefer_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
ADP,,INCLUDE_QUALITY,1.1398,0.6843199319695753,0.4081968137070714,12.132771698141536,12.632305631674967,1.2439699025761228,,0.5872850702832982,-0.1807169376744835,0.325140665772203,,,,,0.12,prefer_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
WDC,,INCLUDE_QUALITY,0.7054,0.6700413223140496,0.5759701625077702,12.36925759029087,9.749628473707467,6.272941417446878,,1.707104201316633,6.564009752115736,0.1636501175984709,,,,,0.08,hold_or_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
DXCM,,INCLUDE_QUALITY,1.0136,0.3813611047531853,0.2486939648738743,16.48941501311216,9.695295241833817,3.93711321657292,,0.8531570814764823,-0.0870333202840659,0.3558996601105834,,,,,0.12,prefer_add,0.5,75,0.47,ACCUMULATE,high_vol_stress,"buffett_quality,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
