asset_a,asset_b,corr_calm,corr_crisis,delta
CRWD,DUK,-0.13208778466257234,0.9488132676115916,1.080901052274164
PG,PLTR,-0.12969548833388245,0.9350832946286751,1.0647787829625575
CRWD,PEP,-0.11032632153244122,0.9530035614745477,1.0633298830069888
MTSI,SO,-0.09026021248916839,0.9725983531519614,1.0628585656411298
CRWD,JNJ,-0.10700129255964984,0.9555647030325674,1.062565995592217
AEP,CRWD,-0.10119547730596808,0.9529119355993491,1.0541074129053172
DUK,MTSI,-0.07831226889247533,0.9753500472114408,1.053662316103916
PEP,PLTR,-0.135661342863121,0.9178527672586303,1.0535141101217513
KMB,PLTR,-0.11452201979768893,0.9347093144235064,1.0492313342211952
MRK,PLTR,-0.1352835619052851,0.9113846296748952,1.0466681915801803
CRWD,SO,-0.10640621060712668,0.9325390970396881,1.0389453076468147
PEP,RKLB,-0.10876055679279736,0.9239932238452698,1.032753780638067
AEP,MTSI,-0.050325451483928314,0.9776907806056447,1.0280162320895732
DUK,PLTR,-0.11207925133548136,0.9154127973174768,1.0274920486529582
DUK,FANG,-0.05857122302366907,0.9674048391475917,1.0259760621712608
CB,PLTR,-0.10460488429744592,0.9204501400592329,1.0250550243566787
CB,CRWD,-0.06965329992090226,0.9541161789573407,1.023769478878243
CRWD,KMB,-0.09841612958076473,0.9250257721368388,1.0234419017176035
ABBV,PLTR,-0.07575886603471912,0.9474221590815831,1.0231810251163023
CRWD,PG,-0.07598785322163096,0.9413759506871325,1.0173638039087636
FANG,SO,-0.058313770509327574,0.9588008590668066,1.0171146295761342
AEP,FANG,-0.046267293322149274,0.9660338569410637,1.0123011502632129
JNJ,PLTR,-0.09162722577612563,0.9175410426508801,1.0091682684270058
PLTR,TRV,-0.061077343851907794,0.9378270724630847,0.9989044163149925
FANG,KMB,-0.05893062817879983,0.9373850661741923,0.996315694352992
MTSI,PEP,-0.01762424204102443,0.9783216042285067,0.9959458462695311
FANG,PG,-0.03951287381585036,0.9556846704659112,0.9951975442817615
CRWD,LMT,-0.04447941333718926,0.9501680774196223,0.9946474907568116
CRWD,NOC,-0.04760155332606134,0.9464820074204715,0.9940835607465328
CRWD,TRV,-0.03549409583409944,0.957118389774832,0.9926124856089314
JNJ,MTSI,-0.012455259555627988,0.9729014121490295,0.9853566717046575
FANG,PEP,-0.015110108192102041,0.9691277018600113,0.9842378100521133
NOC,PLTR,-0.04021721598192036,0.9436313445704564,0.9838485605523768
