ticker,as_of_date,market_cap,market_cap_b,total_assets,total_assets_b,pb_ratio,mktcap_to_assets,source,notes,last_updated,ev_ebitda,pb_vs_ev_note,roe,roic,debt_to_equity,interest_coverage,earnings_stability,quality_source
XLU,2026-07-29,14000000000.0,14.0,14000000000.0,14.0,2.0,1.0,seed_defensive_etf,Defensive value ETF,2026-07-29,12.0,,0.1,0.05,1.4,4.0,0.92,seed_defensive_etf
XLV,2026-07-29,35000000000.0,35.0,16000000000.0,16.0,4.0,2.2,seed_defensive_etf,Defensive value ETF,2026-07-29,15.0,,0.16,0.12,0.7,12.0,0.88,seed_defensive_etf
XLF,2026-07-29,40000000000.0,40.0,250000000000.0,250.0,1.5,0.15,seed_defensive_etf,Defensive value ETF,2026-07-29,10.0,,0.12,0.1,0.8,8.0,0.8,seed_defensive_etf
SCHD,2026-07-29,55000000000.0,55.0,40000000000.0,40.0,3.0,1.5,seed_defensive_etf,Defensive value ETF,2026-07-29,12.0,,0.18,0.14,0.7,12.0,0.9,seed_defensive_etf
USMV,2026-07-29,25000000000.0,25.0,14000000000.0,14.0,3.5,1.8,seed_defensive_etf,Defensive value ETF,2026-07-29,14.0,,0.15,0.12,0.7,12.0,0.9,seed_defensive_etf
DVY,2026-07-29,20000000000.0,20.0,22000000000.0,22.0,1.8,0.9,seed_defensive_etf,Defensive value ETF,2026-07-29,10.0,,0.12,0.09,1.0,8.0,0.85,seed_defensive_etf
VYM,2026-07-29,55000000000.0,55.0,45000000000.0,45.0,2.5,1.2,seed_defensive_etf,Defensive value ETF,2026-07-29,11.0,,0.14,0.11,0.8,10.0,0.88,seed_defensive_etf
XLP,2026-07-29,15000000000.0,15.0,8000000000.0,8.0,4.5,2.0,seed_defensive_etf,Defensive value ETF,2026-07-29,14.0,,0.18,0.12,0.8,10.0,0.9,seed_defensive_etf
SPLV,2026-07-29,8000000000.0,8.0,5000000000.0,5.0,3.0,1.5,seed_defensive_etf,Defensive value ETF,2026-07-29,13.0,,0.14,0.11,0.8,10.0,0.9,seed_defensive_etf
VIG,2026-07-29,80000000000.0,80.0,40000000000.0,40.0,4.0,2.0,seed_defensive_etf,Defensive value ETF,2026-07-29,16.0,,0.2,0.15,0.6,15.0,0.92,seed_defensive_etf
XLE,2026-07-29,35000000000.0,35.0,40000000000.0,40.0,1.8,0.9,seed_defensive_etf,Defensive value ETF,2026-07-29,7.0,,0.14,0.1,0.5,12.0,0.65,seed_defensive_etf
IYR,2026-07-29,4000000000.0,4.0,4000000000.0,4.0,2.0,1.0,seed_defensive_etf,Defensive value ETF,2026-07-29,16.0,,0.06,0.04,1.2,3.0,0.8,seed_defensive_etf
