ticker,buffett_pass,trifecta_pass,roe,roic,debt_to_equity,pb_ratio,ev_ebitda,mktcap_to_assets,gap
CF,True,False,0.25,0.15,0.5,2.8,8.5,1.304,quality_only
C,False,True,0.07,0.05,1.3,0.7,7.0,0.05,value_only
BAC,False,True,0.1,0.08,1.1,1.2,9.0,0.103,value_only
JPM,False,False,0.15,0.12,1.2,1.8,10.0,0.15,neither
COST,True,False,0.28,0.16,0.4,14.0,28.0,5.571,quality_only
TGT,False,False,0.25,0.12,1.2,3.5,10.0,1.273,neither
NKE,True,False,0.3,0.18,0.6,8.0,20.0,2.875,quality_only
SBUX,False,False,0.4,0.14,2.5,12.0,16.0,3.667,neither
MCD,False,False,1.2,0.18,4.0,15.0,18.0,3.818,neither
ALL,False,False,0.12,0.09,0.35,2.2,8.5,0.457,neither
TRV,False,False,0.14,0.1,0.3,1.9,9.0,0.423,neither
AEP,False,False,0.1,0.05,1.5,1.8,11.5,0.5,neither
D,False,False,,,,1.5,11.0,0.409,neither
LLY,False,False,0.55,0.3,1.5,45.0,35.0,10.571,neither
UNH,True,False,0.25,0.18,0.7,5.5,15.0,1.6,quality_only
WM,False,False,0.25,0.12,1.5,9.0,15.0,2.429,neither
CB,False,False,0.13,0.1,0.3,1.8,10.0,0.55,neither
CAT,False,False,0.4,0.18,1.5,8.0,13.0,2.0,neither
BLK,True,False,0.22,0.18,0.2,3.5,16.0,1.077,quality_only
XOM,False,False,0.16,0.12,0.25,2.0,6.5,1.211,neither
RTX,False,False,0.12,0.08,0.7,2.5,13.0,0.941,neither
LMT,False,False,0.55,0.2,1.5,15.0,14.0,2.364,neither
PM,False,False,0.7,0.2,2.0,7.0,12.0,2.769,neither
MO,False,False,0.9,0.25,1.5,25.0,9.0,2.571,neither
MSFT,True,False,0.35,0.25,0.3,12.0,25.0,6.4,quality_only
ORCL,False,False,0.5,0.18,2.5,25.0,20.0,3.143,neither
CSCO,True,False,0.25,0.18,0.3,4.5,11.0,2.2,quality_only
IBM,False,False,0.25,0.1,2.0,6.5,14.0,1.308,neither
DD,False,False,0.06,0.05,0.5,1.8,10.0,0.778,neither
DOW,False,False,0.1,0.07,0.7,1.5,8.0,0.667,neither
VNQ,False,False,0.06,0.04,0.8,,,1.0,neither
O,False,False,0.05,0.04,1.2,1.4,15.0,0.714,neither
PLD,False,False,0.08,0.05,0.6,2.5,22.0,1.222,neither
SHEL,False,False,0.12,0.1,0.35,1.2,5.5,0.55,neither
CVX,False,False,0.14,0.11,0.2,1.7,6.0,1.115,neither
BX,False,False,,,,12.0,18.0,4.25,neither
DE,False,False,0.35,0.15,1.8,5.0,12.0,1.05,neither
DG,False,False,0.2,0.1,1.0,4.0,11.0,1.111,neither
NEE,False,False,0.12,0.06,1.4,2.8,14.0,0.816,neither
SMCI,True,False,0.3,0.22,0.2,4.2,18.0,1.571,quality_only
PFE,False,False,0.12,0.1,0.6,1.6,9.0,0.665,neither
BAYRY,False,True,0.05,0.04,0.9,1.0,7.5,0.233,value_only
CAG,False,True,0.1,0.07,0.9,1.1,8.5,0.352,value_only
KHC,False,False,0.06,0.05,0.5,0.8,9.5,0.364,neither
FMC,False,True,0.05,0.04,1.2,0.6,9.0,0.122,value_only
CTVA,False,False,0.08,0.06,0.4,1.9,14.0,1.371,neither
HMC,False,True,0.08,0.06,0.5,0.6,6.5,0.24,value_only
ANDE,False,False,0.08,0.06,0.5,1.4,8.0,0.619,neither
LXU,False,False,0.15,0.1,0.8,1.3,7.0,0.607,neither
SMG,False,False,0.12,0.08,1.5,4.5,12.0,1.079,neither
HON,True,False,0.28,0.16,0.8,7.5,16.0,2.154,quality_only
IPI,False,False,0.05,0.04,0.3,1.2,9.0,0.836,neither
ICL,False,False,0.12,0.08,0.7,1.4,7.0,1.809,neither
NTR,False,False,0.07,0.05,0.6,1.1,7.5,0.879,neither
MOS,False,True,0.08,0.06,0.4,0.7,6.5,0.323,value_only
ASIX,False,True,0.1,0.07,0.6,0.9,6.5,0.344,value_only
T,False,True,0.1,0.06,1.2,1.3,7.0,0.438,value_only
UAN,False,False,0.2,0.12,0.5,2.5,6.0,1.127,neither
JNJ,True,False,0.22,0.15,0.45,5.2,14.0,2.027,quality_only
PG,True,False,0.18,0.16,0.55,7.5,18.0,3.25,quality_only
ABBV,False,False,0.8,0.2,3.5,35.0,12.0,2.37,neither
CL,False,False,0.35,0.18,1.2,80.0,16.0,4.875,neither
CPB,False,False,0.2,0.09,1.5,2.5,10.0,0.9,neither
GIS,False,False,0.28,0.12,1.3,3.8,12.0,1.125,neither
PYPL,False,False,0.18,0.12,0.4,2.0,12.0,0.6,neither
SO,False,False,0.11,0.05,1.6,2.4,12.0,0.643,neither
DUK,False,False,0.09,0.05,1.5,1.6,11.0,0.456,neither
MKC,False,False,0.22,0.12,0.9,5.0,18.0,1.538,neither
BMY,False,False,0.18,0.12,1.1,4.5,8.5,1.0,neither
KMB,False,False,0.55,0.16,2.0,35.0,14.0,2.647,neither
MMM,False,False,0.25,0.12,1.2,4.0,11.0,1.45,neither
PEP,False,False,0.5,0.14,1.6,12.0,17.0,2.3,neither
VZ,False,False,0.2,0.08,1.8,1.8,7.5,0.461,neither
MRK,True,False,0.3,0.18,0.7,6.5,12.0,2.636,quality_only
KO,False,False,0.38,0.15,1.4,10.5,20.0,2.857,neither
MCHP,False,False,0.2,0.12,1.2,4.5,18.0,1.8,neither
TTMI,False,False,0.08,0.06,0.7,1.8,10.0,0.9,neither
MTSI,False,False,0.12,0.1,0.4,5.0,22.0,2.5,neither
STM,False,False,0.15,0.12,0.3,2.2,9.0,1.0,neither
LRCX,True,False,0.45,0.3,0.5,8.0,20.0,3.5,quality_only
SATS,False,True,0.0,0.0,2.0,0.8,8.0,0.4,value_only
INTC,False,False,0.02,0.01,0.5,1.3,12.0,0.7,neither
RKLB,False,False,-0.15,-0.1,0.3,8.0,,3.0,neither
ASTS,False,False,-0.2,-0.15,0.5,5.0,,2.0,neither
VUG,False,False,,,,,,,neither
BKSY,False,False,-0.1,-0.08,0.4,2.5,,1.5,neither
AMAT,True,False,0.35,0.25,0.4,6.5,16.0,2.8,quality_only
QQQ,False,False,,,,,,,neither
TSLA,False,False,0.15,0.1,0.2,8.0,55.0,10.0,neither
SCHW,False,False,0.14,0.1,0.5,2.5,14.0,0.15,neither
BA,False,False,0.0,0.02,5.0,1.2,22.0,0.8,neither
XBI,False,False,,,,,,,neither
REGN,True,False,0.18,0.16,0.1,4.0,15.0,3.5,quality_only
SEDG,False,False,-0.05,-0.02,0.8,1.5,18.0,2.0,neither
ENPH,False,False,0.1,0.08,0.5,3.0,22.0,4.0,neither
GOOGL,True,False,0.25,0.22,0.1,8.0,18.0,5.0,quality_only
CRWD,False,False,0.05,0.04,0.3,6.0,40.0,12.0,neither
PLTR,False,False,0.08,0.05,0.0,4.0,45.0,8.0,neither
AMD,False,False,0.12,0.1,0.15,5.0,28.0,4.0,neither
NVDA,True,False,0.9,0.55,0.2,25.0,35.0,18.0,quality_only
TDW,False,False,0.1,0.08,0.6,1.4,7.0,0.8,neither
ARKK,False,False,,,,,,,neither
VAL,False,False,0.12,0.09,0.7,1.6,8.0,0.9,neither
