roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
135.86567164179104,0.2365583014994413,573.3432835820895,0.998,574.343,0.2366,135.6291,0.998,leverage_driven,levered-assets,ROE = PM × AT × EM,GDDY,9.923637008042684,1677.454843236641,1.405465754156203
11.684904707812697,0.22294949713876322,51.41054524801212,0.981,52.411,0.2229,11.462,0.981,leverage_driven,levered-assets,ROE = PM × AT × EM,IT,9.227102073290324,167.25296382485894,1.3848182630553947
2.972461273666093,0.10900713248753392,26.268502581755595,0.963,27.269,0.109,2.8635,0.963,leverage_driven,levered-assets,ROE = PM × AT × EM,LVS,9.052255694993024,51.49279999910117,1.5027031392575108
2.897344501871324,0.5373504330005949,4.39190875066833,0.815,5.392,0.5374,2.36,0.815,leverage_driven,levered-assets,ROE = PM × AT × EM,MA,20.761505081265348,79.45276178529039,7.727538894754198
2.5833333333333335,0.2817114729269216,8.17013888888889,0.891,9.17,0.2817,2.3016,0.891,leverage_driven,levered-assets,ROE = PM × AT × EM,EXPE,8.291651037038514,45.7996125783258,0.9970360499306724
2.171689497716895,0.45097667362033,3.815525114155251,0.792,4.816,0.451,1.7207,0.792,leverage_driven,levered-assets,ROE = PM × AT × EM,STX,28.372385447243918,81.15630727271511,9.993944721505066
1.6767448718691862,0.6742585501841343,1.486798085706561,0.598,2.487,0.6743,1.0025,0.598,leverage_driven,levered-assets,ROE = PM × AT × EM,APP,24.766931287302356,51.483905744191944,15.78697368412517
1.6360986274747966,0.01185213393844035,137.0425361350662,0.993,138.043,0.0119,1.6242,0.993,leverage_driven,levered-assets,ROE = PM × AT × EM,LYV,26.546476237399734,518.1248038714587,1.5136964084280993
1.5,0.45,1.8,0.643,2.8,0.5357,0.9643,0.643,leverage_driven,levered-assets,ROE = PM × AT × EM,AAPL,,38.558,10.817
1.367223260911611,1.035498046875,0.32035329765972537,0.243,1.32,1.0355,0.3317,0.243,high_ops,cheap-assets,ROE = PM × AT × EM,FTNT,39.39099403153199,72.66655134502857,10.379501969875664
