ticker,next_earnings_date,surprise_pct,pre_mom_pctile,pre_mom_flag,iv_vs_realized,atm_iv,iv_rich,expected_drift_20d,catalyst_score
ABBV,2026-10-29,1.15,0.964,hot,0.712,0.125,False,0.0048,0.375
AEP,2026-10-29,-8.2,0.976,hot,0.711,0.125,False,0.0011,0.293
AFL,2026-08-06,-2.55,0.964,hot,0.698,0.0625,False,0.0011,0.235
ALL,2026-04-29,47.01,0.98,hot,0.71,0.125,False,0.0292,0.711
AMAT,2026-08-13,6.5,0.992,hot,0.785,0.125,False,0.0292,0.765
AMD,2026-11-03,5.82,0.988,hot,0.781,0.25,False,0.0292,0.744
ANDE,2026-11-03,44.94,0.187,cold,0.967,0.7461,False,0.0292,0.572
ARKK,,,0.901,hot,0.931,0.0625,False,,0.0
ASIX,2026-08-07,-5.26,0.024,cold,0.707,0.5,False,0.0011,0.145
ASTS,2026-08-10,-233.7,0.579,neutral,0.784,0.0625,False,0.0011,0.184
BA,2026-10-28,-141.48,0.964,hot,0.722,0.125,False,0.0011,0.235
BAC,2026-10-14,7.74,0.012,cold,0.534,0.0625,False,0.0292,0.535
BAYRY,2026-11-03,7.2,0.992,hot,0.789,,False,0.0292,0.765
BEN,2026-11-06,8.28,0.016,cold,0.534,,False,0.0292,0.541
BKSY,2026-08-06,-20.81,0.048,cold,0.793,0.5,False,0.0011,0.162
BLK,2026-10-14,9.62,0.972,hot,0.71,0.0625,False,0.0292,0.678
BMY,2026-10-29,27.74,0.865,hot,0.801,0.0625,False,0.0292,0.606
BX,2026-10-22,13.71,0.972,hot,0.704,0.0625,False,0.0292,0.678
C,2026-10-13,15.62,0.98,hot,0.727,0.0625,False,0.0292,0.711
CAG,2026-09-30,2.78,0.008,cold,0.727,0.125,False,0.0048,0.26
CAT,2026-10-29,31.83,0.968,hot,0.727,0.125,False,0.0292,0.659
CB,2026-10-27,7.63,0.984,hot,0.717,0.0625,False,0.0292,0.727
CF,2026-08-05,8.66,0.008,cold,0.566,0.125,False,0.0292,0.522
CFG,2026-10-16,4.39,0.726,hot,1.236,0.0625,False,0.0048,0.333
CL,2026-10-30,4.53,0.048,cold,0.657,0.0625,False,0.0048,0.302
COST,2026-09-24,-0.85,0.972,hot,0.708,0.125,False,0.0011,0.275
CPB,2026-09-09,4.5,0.0,cold,0.715,0.125,False,0.0048,0.239
CRWD,2026-08-26,3.05,0.992,hot,0.743,0.125,False,0.0048,0.503
CSCO,2026-08-12,2.29,0.988,hot,0.702,0.0938,False,0.0048,0.482
CTVA,2026-11-03,2.93,0.655,neutral,1.137,0.25,False,0.0048,0.326
CVX,2026-10-30,8.84,0.992,hot,0.694,0.0938,False,0.0292,0.765
CW,2026-05-06,5.33,0.976,hot,0.734,0.125,False,0.0292,0.695
D,2026-10-30,17.2,0.294,cold,0.238,0.125,False,0.0292,0.58
DD,2026-11-05,6.75,0.988,hot,0.703,0.0625,False,0.0292,0.744
DE,2026-08-20,15.01,0.972,hot,0.72,0.125,False,0.0292,0.678
DG,2026-08-27,6.22,0.964,hot,0.708,0.0625,False,0.0292,0.637
DOW,2026-10-22,12.62,0.008,cold,0.8,0.125,False,0.0292,0.522
DUK,2026-11-05,9.61,0.984,hot,0.707,0.5772,False,0.0292,0.727
DVN,2026-11-04,-4.91,0.008,cold,0.864,0.125,False,0.0011,0.12
DVY,,,0.968,hot,0.702,0.1899,False,,0.0
ENPH,2026-10-27,-0.76,0.103,cold,0.502,0.125,False,0.0011,0.167
FANG,2026-11-02,8.32,0.984,hot,0.709,0.25,False,0.0292,0.727
FITB,2026-10-19,-1.24,0.98,hot,0.856,0.125,False,0.0011,0.309
FMC,2026-10-28,17.04,0.004,cold,0.802,0.25,False,0.0292,0.51
GD,2026-10-28,6.86,0.976,hot,0.701,0.0625,False,0.0292,0.695
GIS,2026-09-23,19.21,0.004,cold,0.718,0.25,False,0.0292,0.51
GOOGL,2026-10-28,214.23,0.992,hot,0.737,0.125,False,0.0292,0.765
GSAT,2026-08-06,-1186.53,0.742,hot,0.553,0.0625,False,0.0011,0.195
HBAN,2026-10-22,0.89,0.968,hot,1.125,0.125,False,0.0048,0.396
HEI,2026-08-25,24.25,0.992,hot,0.704,0.125,False,0.0292,0.765
HII,2026-10-29,38.02,0.972,hot,0.75,0.25,False,0.0292,0.678
HMC,2014-01-31,-2.3,0.012,cold,0.602,0.125,False,0.0011,0.132
HON,2026-10-22,7.22,0.996,hot,0.702,0.0625,False,0.0292,0.786
HPQ,2026-08-26,20.26,0.032,cold,0.727,0.125,False,0.0292,0.557
IBM,2026-10-21,-0.1,0.964,hot,0.835,0.125,False,0.0011,0.235
ICL,2026-02-18,-3.23,0.008,cold,0.711,0.5,False,0.0011,0.12
INTC,2026-10-22,92.49,0.956,hot,0.778,0.25,False,0.0292,0.612
IPI,2026-11-04,28.68,0.024,cold,0.675,0.375,False,0.0292,0.548
IRDM,2026-10-22,-33.07,0.028,cold,0.671,0.0938,False,0.0011,0.15
IVZ,2026-10-27,7.18,0.976,hot,0.775,0.0938,False,0.0292,0.695
IYR,,,0.964,hot,0.702,0.0625,False,,0.0
JNJ,,,0.996,hot,0.713,0.0625,False,,0.0
JPM,2026-10-13,5.86,0.968,hot,0.703,0.0625,False,0.0292,0.659
KHC,,,0.036,cold,0.59,0.125,False,,0.0
KMB,,,0.98,hot,0.713,0.0938,False,,0.0
KO,,,0.81,hot,0.981,0.0625,False,,0.0
LLY,,,0.992,hot,0.719,0.125,False,,0.0
LMT,,,0.98,hot,0.72,0.0625,False,,0.0
LRCX,,,0.984,hot,0.803,0.1875,False,,0.0
LXU,,,0.008,cold,0.725,1.5508,True,,0.0
MCD,,,0.972,hot,0.71,0.0625,False,,0.0
MCHP,,,0.679,hot,0.657,0.125,False,,0.0
MKC,,,0.0,cold,0.695,0.25,False,,0.0
MMM,,,0.992,hot,0.71,0.125,False,,0.0
MO,,,0.984,hot,0.747,0.125,False,,0.0
MOS,,,0.016,cold,0.71,0.125,False,,0.0
MPC,,,0.992,hot,0.698,0.125,False,,0.0
MRK,,,0.972,hot,0.708,0.0625,False,,0.0
MSFT,2026-10-28,11.81,0.21,cold,0.801,0.0625,False,0.0292,0.576
MTSI,,,0.964,hot,0.763,0.125,False,,0.0
MU,,,0.988,hot,0.809,0.25,False,,0.0
NEE,,,0.548,neutral,0.361,0.0938,False,,0.0
NKE,,,0.004,cold,0.709,0.125,False,,0.0
NOC,,,0.968,hot,0.706,0.125,False,,0.0
NTR,,,0.972,hot,0.82,0.125,False,,0.0
NUE,,,0.988,hot,0.702,0.125,False,,0.0
NVDA,,,0.091,cold,0.972,0.25,False,,0.0
O,,,0.996,hot,0.707,0.125,False,,0.0
ORCL,,,0.964,hot,0.751,0.125,False,,0.0
PEP,,,0.976,hot,0.713,0.0625,False,,0.0
PFE,,,0.008,cold,0.71,0.0625,False,,0.0
