ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision,momentum_score,mom_12_1,ret_63d,resid_mom_63,momentum_quintile,f_value,f_quality,f_momentum,f_lowvol,f_leverage_pen,factor_composite
MU,Information Technology,False,False,True,starlink_supply,0.16,0.12,0.3,10.0,0.45,6.5,1.8,0.9,0.64,0.48,0.85,0.45,0.6666666666666666,True,False,True,False,0.5976666666666666,1.0,0.8666666666666667,0.4666666666666667,True,False,False,False,0.8,0.231,1.3,,0.0,0.6887,0.0,0.08,hold,SATELLITE,3.274503825564132,6.850326095691777,0.517321458274856,0.411241033727703,5.0,0.9739401000510006,-0.09297101053507974,5.050996797346105,0.0,0.0,1.4829914717155066
NVDA,Information Technology,False,False,True,growth_ai,0.9,0.55,0.2,50.0,0.6,,24.17,,1.0,1.0,0.9,0.6,1.0,True,True,True,True,0.925,0.0,0.0,0.0,False,False,False,False,0.0,0.167,1.2,,0.0,0.5088,0.0,0.05,hold,SATELLITE,-0.3399630368032045,0.0729115356582084,-0.0173317337538059,-0.1174717834599638,2.0,-0.518856829870759,4.794823501477306,-0.5244007341519019,0.0,0.0,0.9378914843636612
HMC,Consumer Discretionary,True,True,False,,0.08,0.06,0.5,20.0,0.75,6.5,0.6,0.24,0.32,0.24,0.75,0.75,1.0,False,False,True,False,0.493,1.0,1.0,1.0,True,True,True,True,1.0,0.333,1.5,cheap-assets,0.03,0.7511,0.1208,0.12,prefer_add,INCLUDE_VALUE,0.5595640465305008,-0.1610778689320332,0.2875104160737844,0.1944444708924534,5.0,2.62890199363698,-0.7162023396222863,0.86314029773615,0.0,0.15,0.708959987937711
HPQ,Information Technology,False,True,True,quality_growth,0.2,0.15,0.8,8.0,0.7,7.0,1.4,0.6,0.8,0.6,0.6,0.7,0.5333333333333333,True,True,True,True,0.6683333333333333,1.0,1.0,0.8666666666666667,True,True,False,False,0.96,0.444,1.8,,0.0,0.7996,0.0,0.12,prefer_add,INCLUDE_QUALITY,0.9505215070112052,-0.19196754611792,0.2913462305562764,0.1794713288001699,5.0,1.073920475685822,0.2186446540085236,1.4662010928923133,0.0,0.0,0.6896915556466647
NUE,Materials,False,True,False,,0.18,0.14,0.3,15.0,0.55,6.0,1.6,1.0,0.72,0.56,0.85,0.55,1.0,True,False,True,False,0.6940000000000001,1.0,0.9555555555555556,0.3333333333333333,True,False,False,False,0.7866666666666666,0.231,1.3,,0.0,0.7357,0.0,0.08,hold_or_add,SATELLITE,0.636334870965217,0.5136451285184724,0.1383021625436424,0.0316439577318769,5.0,1.2365584290904954,0.09792063301849305,0.9815610445137374,0.0,0.0,0.5790100266556815
ABBV,Health Care,False,True,False,,0.8,0.2,3.5,8.0,0.78,,-68.33,3.369,1.0,0.8,0.0,0.78,0.5333333333333333,True,True,False,False,0.7103333333333334,0.0,1.0,0.0,False,True,False,False,0.3,0.778,4.5,,0.0,0.5257,0.0,0.05,hold,SATELLITE,0.5379588554421224,0.2958257097453727,0.2365968444156247,0.1627155696417449,5.0,-0.6022795159634413,2.0861747196208897,0.8298137979649519,0.0,0.0,0.5784272504056001
PM,Consumer Staples,False,True,False,,0.7,0.2,2.0,7.0,0.85,,,4.604,1.0,0.8,0.0,0.85,0.4666666666666667,True,True,False,False,0.7141666666666666,0.0,0.0,0.0,False,False,False,False,0.0,0.667,3.0,,0.0,0.3928,0.0,0.03,reduce_or_avoid,WATCH,0.2527702741230885,0.0988063594598234,0.1348188263458019,0.0818505460483031,4.0,0.0,1.8333927274884472,0.3899039100496575,0.0,0.0,0.5558241593845261
AMD,Information Technology,False,False,True,growth_ai,0.12,0.1,0.15,15.0,0.55,28.0,5.0,4.0,0.48,0.4,0.925,0.55,1.0,False,False,True,False,0.58525,0.0,0.0,0.0,False,False,False,False,0.0,0.13,1.15,,0.0,0.3219,0.0,0.03,reduce_or_avoid,AVOID,1.9348073397229568,1.807830020960357,0.4211805425559547,0.2757246516551243,5.0,-1.0224072901149335,-0.3344190525151409,2.9844844278777867,0.0,0.0,0.40691452131192807
MO,Consumer Staples,False,True,False,,0.9,0.25,1.5,8.0,0.85,9.0,25.0,2.571,1.0,1.0,0.25,0.85,0.5333333333333333,True,True,False,False,0.8183333333333332,1.0,0.0,0.0,True,False,False,False,0.4,0.6,2.5,,0.0,0.6301,0.0,0.08,hold,SATELLITE,-0.519853645627592,0.110076321900346,-0.0745130220382548,-0.1164648140529211,1.0,-0.3245729208741315,2.6897948245710435,-0.8018860990951184,0.0,0.0,0.3908339511504484
VLO,Energy,False,True,False,,,,,,,,3.88,1.424,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,1.13191113111716,0.9666545851570474,0.2387632055256912,0.1255198651118689,5.0,-0.19659848009347722,0.0,1.745998723079277,0.0,0.0,0.38735006074644995
IRDM,Communication Services,False,False,True,starlink_supply,,,,,,,10.68,1.683,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,1.2731736855617497,1.1517214165324217,0.1942842847475987,0.1676130604828916,5.0,-0.4410183126339758,0.0,1.963899433566805,0.0,0.0,0.3807202802332073
IVZ,Financials,False,True,False,,,,,,,,1.04,0.325,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,1.0,1.0,False,True,True,False,0.6,,,low-MCA,-0.02,0.36,0.0,0.03,reduce_or_avoid,WATCH,0.4259561155880966,0.2551115081011794,0.1298002704274541,0.1523478753342007,5.0,0.8516971682029548,0.0,0.6570470184974672,0.0,0.0,0.37718604667510547
MSFT,Information Technology,False,False,True,quality_growth,0.35,0.25,0.3,30.0,0.9,,8.09,6.702,1.0,1.0,0.85,0.9,1.0,True,True,True,True,0.9625,0.0,0.0,0.0,False,False,False,False,0.0,0.231,1.3,,0.0,0.5294,0.0,0.05,hold,SATELLITE,0.352777136745047,-0.2498943919951066,0.0906146013944737,0.1358363999387926,4.0,-0.3963694400031684,1.2994938678426085,0.5441667754256416,0.0,0.0,0.3618228008162704
RF,Financials,False,True,False,,0.15,0.15,0.2,8.0,0.72,7.5,1.1,0.12,0.6,0.6,0.9,0.72,0.5333333333333333,True,True,True,True,0.6563333333333333,1.0,1.0,1.0,True,True,True,True,1.0,0.167,1.2,cheap-assets,0.03,0.921,0.0,0.12,prefer_add,INCLUDE_CORE,0.0124537493369525,0.171826645040207,0.1153290148826979,0.0311376311382751,3.0,1.2458257472692182,0.0922536579423022,0.01921019225105379,0.0,0.15,0.3543223993656435
MPC,Energy,False,True,False,,,,,,,,5.49,1.411,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,1.0998885416109876,0.6468806847198976,0.2436841487376091,0.105895236270256,5.0,-0.3091761650974247,0.0,1.6966031487709954,0.0,0.0,0.34685674591839266
LLY,Health Care,False,True,False,,0.55,0.3,1.5,15.0,0.8,35.0,45.0,10.571,1.0,1.0,0.25,0.8,1.0,True,True,False,False,0.8574999999999999,0.0,0.0,0.0,False,False,False,False,0.0,0.6,2.5,,0.0,0.4716,0.0,0.05,reduce_or_avoid,WATCH,0.3554928595079867,0.8378931583034761,0.1932370930156668,0.1154383019922977,4.0,-1.3758889819018971,2.1558959649252043,0.5483558396957757,0.0,0.0,0.3320907056797707
KHC,Consumer Staples,True,True,False,,0.06,0.05,0.5,5.0,0.7,,0.75,0.355,0.24,0.2,0.75,0.7,0.3333333333333333,False,False,True,False,0.3828333333333333,0.0,1.0,1.0,False,True,True,False,0.6,0.333,1.5,cheap-assets,0.03,0.5106,0.1339,0.05,hold,SATELLITE,0.4031927119429812,-0.0945752881954725,0.1766279692683769,0.2098324512893257,4.0,1.4054728787490325,-0.836926360612317,0.6219339494545973,0.0,0.15,0.3126201168978282
DVN,Energy,False,True,False,,0.18,0.12,0.5,10.0,0.5,4.5,1.5,0.9,0.72,0.48,0.75,0.5,0.6666666666666666,True,False,True,False,0.6141666666666666,1.0,1.0,0.4666666666666667,True,True,False,False,0.84,0.333,1.5,,0.0,0.7158,0.0,0.08,hold_or_add,SATELLITE,-0.4643435922130606,0.2037478437371962,-0.1383144827300849,-0.1936307731049618,1.0,1.9884134130915778,-0.04241461210859124,-0.7162605762820539,0.0,0.0,0.3074345561752332
CRWD,Information Technology,False,False,True,growth_ai,0.05,0.04,0.3,5.0,0.45,,40.7,,0.2,0.16,0.85,0.45,0.3333333333333333,False,False,True,False,0.3363333333333333,0.0,0.0,0.0,False,False,False,False,0.0,0.231,1.3,,0.0,0.185,0.0,0.03,reduce_or_avoid,AVOID,1.7401917050813722,0.7956123106493438,0.5788935732284013,0.4033589688355026,5.0,-0.543885184605067,-0.9323721823891034,2.684285374936149,0.0,0.0,0.3020070019854946
LMT,Industrials,False,True,False,,0.55,0.2,1.5,12.0,0.88,,15.06,2.409,1.0,0.8,0.25,0.88,0.8,True,True,False,False,0.7895000000000001,0.0,0.0,0.0,False,False,False,False,0.0,0.6,2.5,,0.0,0.4342,0.0,0.03,reduce_or_avoid,WATCH,0.1365052725060605,0.2334997042504227,0.1079995335342904,0.0318287354591494,4.0,-0.4815792883597614,1.4542197392897835,0.21056249464915003,0.0,0.0,0.29580073639479304
SATS,Communication Services,False,False,True,starlink_supply,,,,,,,5.34,1.506,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,0.9601445480116116,0.1492516255234597,0.2176111165471357,0.2381710447145457,5.0,-0.301555231713809,0.0,1.4810448530047051,0.0,0.0,0.294872405322724
UNH,Health Care,False,True,False,,0.25,0.18,0.7,12.0,0.85,,3.65,1.276,1.0,0.72,0.65,0.85,0.8,True,True,True,True,0.8210000000000002,0.0,0.0444444444444445,0.0,False,False,False,False,0.0133333333333333,0.412,1.7,,0.0,0.4576,0.0,0.05,reduce_or_avoid,WATCH,0.4919723013384701,0.564916629896471,0.1368037794219909,0.051967437378399,5.0,-0.17240859787540797,0.5555385177653711,0.7588784899390055,0.0,0.0,0.28550210245724217
PSX,Energy,False,True,False,,,,,,,,2.96,1.126,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.3511111111111111,0.1653333333333334,False,False,False,False,0.1549333333333333,,,,0.0,0.1797,0.0,0.03,reduce_or_avoid,AVOID,0.7796636696873558,0.4392233278972808,0.1800302833139966,0.0652499767660417,5.0,-0.07728352050435157,0.0,1.2026489839020094,0.0,0.0,0.28134136584941444
AMAT,Information Technology,False,False,True,starlink_supply,,,,,,,16.66,7.243,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,1.004970798902136,2.173393579440695,0.2820532034177692,0.1874970029818119,5.0,-0.4910776898190057,0.0,1.5501903668738373,0.0,0.0,0.2647781692637079
CSCO,Information Technology,False,True,False,,0.25,0.18,0.3,25.0,0.88,,9.16,4.476,1.0,0.72,0.85,0.88,1.0,True,True,True,True,0.8755,0.0,0.0,0.0,False,False,False,False,0.0,0.231,1.3,,0.0,0.4815,0.0,0.05,reduce_or_avoid,WATCH,0.5840084603429101,0.6007102272573335,0.2259527250974142,0.1117075883583481,5.0,-0.41787596732844595,0.5555385177653711,0.9008463632828013,0.0,0.0,0.25962722842993163
MCD,Consumer Discretionary,False,True,False,,1.2,0.18,4.0,10.0,0.9,18.0,15.0,3.818,1.0,0.72,0.0,0.9,0.6666666666666666,True,True,False,False,0.7176666666666667,0.3333333333333333,0.0,0.0,False,False,False,False,0.1333333333333333,0.8,5.0,,0.0,0.4547,0.0,0.05,reduce_or_avoid,WATCH,-0.6264218899849746,-0.0801127670850716,-0.0551214478200449,-0.1292985103767597,1.0,-0.9746477484196765,2.956967443023576,-0.9662700453729038,0.0,0.0,0.25401241230774896
INTC,Information Technology,False,False,True,starlink_supply,,,,,,,4.11,2.873,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,0.763475273836814,4.4162917278664935,-0.0485487741192581,-0.0875707944229386,5.0,-0.21808097890027853,0.0,1.177678014267802,0.0,0.0,0.23989925884188087
AFL,Financials,False,True,False,,0.16,0.12,0.4,12.0,0.85,8.5,1.5,0.15,0.64,0.48,0.8,0.85,0.8,True,False,True,False,0.6635,1.0,1.0,1.0,True,True,True,True,1.0,0.286,1.4,cheap-assets,0.03,0.8449,0.0,0.12,prefer_add,INCLUDE_VALUE,0.1913062817158155,0.1436140089257422,0.1237977459862034,0.0176138845165304,4.0,0.6899778121661972,-0.09297101053507974,0.295094300612797,0.0,0.15,0.23802527556097863
ASIX,Materials,False,False,False,,0.1,0.07,0.6,4.0,0.55,,0.7,0.347,0.4,0.28,0.7,0.55,0.2666666666666666,False,False,True,False,0.4181666666666667,0.0,1.0,1.0,False,True,True,False,0.6,0.375,1.6,mixed-assets,0.0,0.5,0.0,0.05,hold,SATELLITE,,,,,,1.5473267553421166,-0.5954783186322556,,0.0,0.0,0.23796210917746524
XOM,Energy,False,True,False,,0.16,0.12,0.25,30.0,0.7,6.5,2.0,1.211,0.64,0.48,0.875,0.7,1.0,True,False,True,False,0.6722499999999999,1.0,0.7777777777777778,0.0519999999999999,True,False,False,False,0.6489333333333333,0.2,1.25,,0.0,0.6618,0.0,0.08,hold,SATELLITE,0.0849929517548919,0.274070616003421,0.0213416535050636,-0.0458983556816635,3.0,0.8911920053717016,-0.09297101053507974,0.13110356560264244,0.0,0.0,0.2323311401098161
TRV,Financials,False,True,False,,0.14,0.1,0.3,10.0,0.82,,2.37,0.603,0.56,0.4,0.85,0.82,0.6666666666666666,False,False,True,False,0.6051666666666666,0.0,0.6133333333333333,0.8626666666666667,False,False,False,False,0.4427999999999999,0.231,1.3,,0.0,0.5321,0.0,0.05,hold,SATELLITE,0.745795494468841,0.2711103344785641,0.246940575586241,0.1478721468706884,5.0,0.047985148313950794,-0.2838626540886523,1.150406551560003,0.0,0.0,0.22863226144632537
BEN,Financials,False,True,False,,,,,,,,1.42,0.345,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,1.0,1.0,False,True,True,False,0.6,,,low-MCA,-0.02,0.36,0.0,0.03,reduce_or_avoid,WATCH,0.2688374776482557,0.3104110530374069,0.1168349264938681,0.1381675080756192,4.0,0.4684381164651403,0.0,0.4146879377592438,0.0,0.0,0.22078151355609602
UAN,Materials,False,False,False,,0.2,0.12,0.5,6.0,0.5,6.0,2.5,1.127,0.8,0.48,0.75,0.5,0.4,True,False,True,False,0.6115,1.0,0.5555555555555556,0.164,True,False,False,False,0.6158666666666667,0.333,1.5,,0.0,0.6135,0.0,0.08,hold,SATELLITE,-0.0265361294765256,0.2764528397306005,-0.0498885949781477,-0.139383245073027,3.0,0.9014286456393346,0.008141786317897349,-0.04093258464182774,0.0,0.0,0.21715946182885104
MOS,Materials,True,False,False,,0.08,0.06,0.4,5.0,0.55,,0.61,0.329,0.32,0.24,0.8,0.55,0.3333333333333333,False,False,True,False,0.4038333333333333,0.0,1.0,1.0,False,True,True,False,0.6,0.286,1.4,cheap-assets,0.03,0.5221,0.1127,0.05,hold,SATELLITE,-0.2296534638204702,-0.343992556306757,-0.008706959580732,0.0970255526851817,2.0,1.8612656625563189,-0.7162023396222863,-0.35424570318124254,0.0,0.15,0.21270440493819753
CF,Materials,False,False,False,,0.25,0.15,0.5,10.0,0.6,,3.62,1.431,1.0,0.6,0.75,0.6,0.6666666666666666,True,True,True,True,0.7491666666666666,0.0,0.0577777777777777,0.0,False,False,False,False,0.0173333333333333,0.333,1.5,,0.0,0.4198,0.0,0.03,reduce_or_avoid,WATCH,0.4135736133984112,0.2791020974037634,-0.0009532349445058,0.0712794561572782,4.0,-0.16902677912668912,0.3450356500747449,0.6379467265952407,0.0,0.0,0.2034888993858241
KMB,Consumer Staples,False,True,False,,0.55,0.16,2.0,8.0,0.85,,20.36,2.152,1.0,0.64,0.0,0.85,0.5333333333333333,True,True,False,False,0.6728333333333333,0.0,0.0,0.0,False,False,False,False,0.0,0.667,3.0,,0.0,0.3701,0.0,0.03,reduce_or_avoid,WATCH,0.0892480823141102,-0.1490245286085605,0.1520125528863001,0.0957480908786821,4.0,-0.5073249247806956,1.1735492490356152,0.13766720149126396,0.0,0.0,0.2009728814365459
BAC,Financials,False,True,False,,0.1,0.08,1.1,4.0,0.75,9.0,1.2,0.103,0.4,0.32,0.4499999999999999,0.75,0.2666666666666666,False,False,False,False,0.4226666666666666,1.0,1.0,1.0,True,True,True,True,1.0,0.524,2.1,levered-assets,-0.1,0.5825,0.0,0.05,hold,INCLUDE_VALUE,0.4075964148529141,0.2432260257307943,0.1827936609801923,0.1256180712682057,4.0,0.857069871146258,-0.5253106960687136,0.6287267615810889,0.0,-0.5,0.1901214841646583
FITB,Financials,False,True,False,,,,,,,,1.59,0.285,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.96,1.0,False,False,True,False,0.588,,,low-MCA,-0.02,0.3546,0.0,0.03,reduce_or_avoid,WATCH,0.2535112983971407,0.3299209040530848,0.1455465264093645,0.1561713096906663,4.0,0.35628948960773255,0.0,0.39104695688495894,0.0,0.0,0.18683411162317287
CFG,Financials,False,True,False,,,,,,,,1.26,0.168,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,1.0,1.0,False,True,True,False,0.6,,,low-MCA,-0.02,0.36,0.0,0.03,reduce_or_avoid,WATCH,0.0838732593492785,0.4619980323861909,0.1285399906721172,-0.0085317367031177,3.0,0.6016342447215569,0.0,0.12937641454219387,0.0,0.0,0.1827526648159377
KO,Consumer Staples,False,True,False,,0.38,0.15,1.4,10.0,0.9,,10.53,3.885,1.0,0.6,0.3,0.9,0.6666666666666666,True,True,False,False,0.7266666666666667,0.0,0.0,0.0,False,False,False,False,0.0,0.583,2.4,,0.0,0.3997,0.0,0.03,reduce_or_avoid,WATCH,0.3128482935149979,0.1941527176118067,0.131730337648753,0.0627019362521319,4.0,-0.43903165905961444,0.6736522398469204,0.48257562451533004,0.0,0.0,0.179299051325659
MRK,Health Care,False,True,False,,0.3,0.18,0.7,12.0,0.84,12.0,6.5,2.636,1.0,0.72,0.65,0.84,0.8,True,True,True,True,0.8195000000000001,0.7777777777777778,0.0,0.0,False,False,False,False,0.3111111111111111,0.412,1.7,,0.0,0.5907,0.0,0.05,hold,INCLUDE_QUALITY,0.3214250308095511,0.5664369361952557,0.147467001907652,0.0763666577299915,4.0,-0.49989993565789537,0.6819295138315924,0.4958054373096406,0.0,0.0,0.16945875387083442
BAYRY,Health Care,True,True,False,,0.05,0.04,0.9,3.0,0.5,,1.68,0.458,0.2,0.16,0.55,0.5,0.2,False,False,True,False,0.2855,0.0,0.92,1.0,False,False,True,False,0.5760000000000001,0.474,1.9,mixed-assets,0.0,0.4162,0.1514,0.03,reduce_or_avoid,WATCH,0.8369162052975433,0.9424551466673624,0.292705456936805,0.3001279539262459,5.0,0.3061053351526321,-0.9323721823891034,1.2909623252239364,0.0,0.0,0.1661738694968663
XLE,Energy,False,True,False,,0.14,0.1,0.5,12.0,0.65,7.0,1.8,0.9,0.56,0.4,0.75,0.65,0.8,False,False,True,False,0.5780000000000001,1.0,0.8666666666666667,0.4666666666666667,True,False,False,False,0.8,0.333,1.5,,0.0,0.6779,0.0,0.08,hold,SATELLITE,0.0467771513554313,0.2428771975712085,-0.0072402813536773,-0.0245126207842906,3.0,0.8374973480306822,-0.2838626540886523,0.07215482230946928,0.0,0.0,0.1564473790628748
STM,Information Technology,False,False,True,starlink_supply,,,,,,,2.65,1.352,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.4888888888888889,0.0,False,False,False,False,0.1466666666666666,,,,0.0,0.176,0.0,0.03,reduce_or_avoid,AVOID,0.3960810460754251,1.6137667101795017,-0.0375476084657907,0.1134800419374648,4.0,-0.018418863657017462,0.0,0.6109640427345668,0.0,0.0,0.14813629476938733
ALL,Financials,False,True,False,,0.12,0.09,0.35,8.0,0.78,,2.31,0.651,0.48,0.36,0.825,0.78,0.5333333333333333,False,False,True,False,0.5460833333333333,0.0,0.6399999999999999,0.7986666666666666,False,False,False,False,0.4316,0.259,1.35,,0.0,0.4946,0.0,0.05,reduce_or_avoid,WATCH,0.5751894170598023,0.1988410744596176,0.2069859952530985,0.1084413984199705,5.0,0.064308954596239,-0.40458667507868307,0.887242787977477,0.0,0.0,0.13674126687375823
STLD,Materials,False,True,False,,,,,,,,3.86,2.011,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,0.4392688089607442,0.7052769268205084,0.0986858931032295,-0.0241195354917807,5.0,-0.19460944945378467,0.0,0.6775821515042851,0.0,0.0,0.12074317551262512
NKE,Consumer Discretionary,False,False,False,,0.3,0.18,0.6,15.0,0.8,,4.22,1.568,1.0,0.72,0.7,0.8,1.0,True,True,True,True,0.841,0.0,0.0,0.0,False,False,False,False,0.0,0.375,1.6,,0.0,0.4626,0.0,0.05,reduce_or_avoid,WATCH,,,,,,-0.22752743520642185,0.6819295138315924,,0.0,0.0,0.11360051965629264
XBI,Health Care,False,False,True,emerging_growth,,,,,,,,,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.0,0.0,False,False,False,False,0.0,,,,0.0,0.11,0.0,0.03,reduce_or_avoid,AVOID,0.2835753581161198,0.7924487570486889,0.1345318854971324,0.0463681502113159,4.0,0.0,0.0,0.4374214543493569,0.0,0.0,0.10935536358733923
D,Utilities,False,True,False,,,,,,,,2.18,0.558,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.6977777777777777,0.9226666666666666,False,False,False,False,0.4861333333333333,,,,0.0,0.3288,0.0,0.03,reduce_or_avoid,AVOID,0.1843836165619745,0.1231884333953226,0.1077045673045604,0.0886786774004434,4.0,0.102759755174014,0.0,0.2844159318021799,0.0,0.0,0.09679392174404847
FMC,Materials,False,False,False,,0.05,0.04,1.2,3.0,0.5,,0.71,0.129,0.2,0.16,0.4,0.5,0.2,False,False,False,False,0.263,0.0,1.0,1.0,False,True,True,False,0.6,0.545,2.2,levered-assets,-0.1,0.3147,0.0,0.03,reduce_or_avoid,AVOID,,,,,,1.517357626484423,-0.9323721823891034,,0.0,-0.5,0.09624636102382993
MMM,Industrials,False,True,False,,0.25,0.12,1.2,8.0,0.72,,30.76,2.27,1.0,0.48,0.4,0.72,0.5333333333333333,True,False,False,False,0.6653333333333333,0.0,0.0,0.0,False,False,False,False,0.0,0.545,2.2,,0.0,0.3659,0.0,0.03,reduce_or_avoid,WATCH,0.4998483024230475,0.001498161658777,0.2437836278666281,0.1442357714129168,5.0,-0.5320592315181419,0.13453278238411864,0.7710274011552694,0.0,0.0,0.09337523800531151
REGN,Health Care,False,False,True,emerging_growth,0.18,0.16,0.1,25.0,0.7,,2.39,,0.72,0.64,0.95,0.7,1.0,True,True,True,True,0.7555,0.0,0.6044444444444443,0.0,False,False,False,False,0.1813333333333333,0.091,1.1,,0.0,0.4971,0.0,0.05,reduce_or_avoid,WATCH,0.0489937000285696,0.1651144755655575,0.0410738765391214,-0.0529676636586032,3.0,0.04272601407237683,0.23825587814557714,0.07557389916678658,0.0,0.0,0.08913894784618515
SYF,Financials,False,True,False,,,,,,,,1.7,0.193,0.0,0.0,0.5,0.5,0.5,False,False,False,False,0.2,0.0,0.9111111111111112,1.0,False,False,True,False,0.5733333333333333,,,low-MCA,-0.02,0.348,0.0,0.03,reduce_or_avoid,AVOID,0.0254361001895969,0.0515223265166615,0.0394666000738892,0.1262388170867867,3.0,0.2956749030501995,0.0,0.03923576439019559,0.0,0.0,0.08372766686009878
