ticker,decision,factor_composite,f_value,f_quality,f_momentum,f_lowvol,momentum_score,leverage_flag,composite_score,roe,ev_ebitda
MU,SATELLITE,1.4829914717155066,0.9739401000510006,-0.09297101053507974,5.050996797346105,0.0,3.274503825564132,,0.6887,0.16,6.5
NVDA,SATELLITE,0.9378914843636612,-0.518856829870759,4.794823501477306,-0.5244007341519019,0.0,-0.3399630368032045,,0.5088,0.9,
HMC,INCLUDE_VALUE,0.708959987937711,2.62890199363698,-0.7162023396222863,0.86314029773615,0.0,0.5595640465305008,cheap-assets,0.7511,0.08,6.5
HPQ,INCLUDE_QUALITY,0.6896915556466647,1.073920475685822,0.2186446540085236,1.4662010928923133,0.0,0.9505215070112052,,0.7996,0.2,7.0
NUE,SATELLITE,0.5790100266556815,1.2365584290904954,0.09792063301849305,0.9815610445137374,0.0,0.636334870965217,,0.7357,0.18,6.0
ABBV,SATELLITE,0.5784272504056001,-0.6022795159634413,2.0861747196208897,0.8298137979649519,0.0,0.5379588554421224,,0.5257,0.8,
PM,WATCH,0.5558241593845261,0.0,1.8333927274884472,0.3899039100496575,0.0,0.2527702741230885,,0.3928,0.7,
AMD,AVOID,0.40691452131192807,-1.0224072901149335,-0.3344190525151409,2.9844844278777867,0.0,1.9348073397229568,,0.3219,0.12,28.0
MO,SATELLITE,0.3908339511504484,-0.3245729208741315,2.6897948245710435,-0.8018860990951184,0.0,-0.519853645627592,,0.6301,0.9,9.0
VLO,AVOID,0.38735006074644995,-0.19659848009347722,0.0,1.745998723079277,0.0,1.13191113111716,,0.11,,
IRDM,AVOID,0.3807202802332073,-0.4410183126339758,0.0,1.963899433566805,0.0,1.2731736855617497,,0.11,,
IVZ,WATCH,0.37718604667510547,0.8516971682029548,0.0,0.6570470184974672,0.0,0.4259561155880966,low-MCA,0.36,,
MSFT,SATELLITE,0.3618228008162704,-0.3963694400031684,1.2994938678426085,0.5441667754256416,0.0,0.352777136745047,,0.5294,0.35,
RF,INCLUDE_CORE,0.3543223993656435,1.2458257472692182,0.0922536579423022,0.01921019225105379,0.0,0.0124537493369525,cheap-assets,0.921,0.15,7.5
MPC,AVOID,0.34685674591839266,-0.3091761650974247,0.0,1.6966031487709954,0.0,1.0998885416109876,,0.11,,
LLY,WATCH,0.3320907056797707,-1.3758889819018971,2.1558959649252043,0.5483558396957757,0.0,0.3554928595079867,,0.4716,0.55,35.0
KHC,SATELLITE,0.3126201168978282,1.4054728787490325,-0.836926360612317,0.6219339494545973,0.0,0.4031927119429812,cheap-assets,0.5106,0.06,
DVN,SATELLITE,0.3074345561752332,1.9884134130915778,-0.04241461210859124,-0.7162605762820539,0.0,-0.4643435922130606,,0.7158,0.18,4.5
CRWD,AVOID,0.3020070019854946,-0.543885184605067,-0.9323721823891034,2.684285374936149,0.0,1.7401917050813722,,0.185,0.05,
LMT,WATCH,0.29580073639479304,-0.4815792883597614,1.4542197392897835,0.21056249464915003,0.0,0.1365052725060605,,0.4342,0.55,
SATS,AVOID,0.294872405322724,-0.301555231713809,0.0,1.4810448530047051,0.0,0.9601445480116116,,0.11,,
UNH,WATCH,0.28550210245724217,-0.17240859787540797,0.5555385177653711,0.7588784899390055,0.0,0.4919723013384701,,0.4576,0.25,
PSX,AVOID,0.28134136584941444,-0.07728352050435157,0.0,1.2026489839020094,0.0,0.7796636696873558,,0.1797,,
AMAT,AVOID,0.2647781692637079,-0.4910776898190057,0.0,1.5501903668738373,0.0,1.004970798902136,,0.11,,
CSCO,WATCH,0.25962722842993163,-0.41787596732844595,0.5555385177653711,0.9008463632828013,0.0,0.5840084603429101,,0.4815,0.25,
