ticker,as_of,first_trade_date,history_start,history_n,entry_close,return_since_entry_pct,horizon,forecast_date,forecast_close,last_close,pct_change,model,backend,multivariate,rolling,channels
SECT_COMMUNICATION_SERVICES,2026-07-28,2025-07-29,2025-07-29,261,100.0,0.526,1,2026-07-29,101.053,100.52572148620358,0.525,statistical_fallback,fallback,False,False,close
SECT_COMMUNICATION_SERVICES,2026-07-28,2025-07-29,2025-07-29,261,100.0,0.526,2,2026-07-30,101.4299,100.52572148620358,0.899,statistical_fallback,fallback,False,False,close
SECT_COMMUNICATION_SERVICES,2026-07-28,2025-07-29,2025-07-29,261,100.0,0.526,3,2026-07-31,101.4311,100.52572148620358,0.901,statistical_fallback,fallback,False,False,close
SECT_COMMUNICATION_SERVICES,2026-07-28,2025-07-29,2025-07-29,261,100.0,0.526,4,2026-08-03,100.9701,100.52572148620358,0.442,statistical_fallback,fallback,False,False,close
SECT_COMMUNICATION_SERVICES,2026-07-28,2025-07-29,2025-07-29,261,100.0,0.526,5,2026-08-04,101.623,100.52572148620358,1.092,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_DISCRETIONARY,2026-07-28,2025-07-29,2025-07-29,261,100.0,15.651,1,2026-07-29,115.0603,115.6512397795844,-0.511,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_DISCRETIONARY,2026-07-28,2025-07-29,2025-07-29,261,100.0,15.651,2,2026-07-30,115.4276,115.6512397795844,-0.193,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_DISCRETIONARY,2026-07-28,2025-07-29,2025-07-29,261,100.0,15.651,3,2026-07-31,115.4638,115.6512397795844,-0.162,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_DISCRETIONARY,2026-07-28,2025-07-29,2025-07-29,261,100.0,15.651,4,2026-08-03,115.7407,115.6512397795844,0.077,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_DISCRETIONARY,2026-07-28,2025-07-29,2025-07-29,261,100.0,15.651,5,2026-08-04,114.8357,115.6512397795844,-0.705,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_STAPLES,2026-07-28,2025-07-29,2025-07-29,261,100.0,6.162,1,2026-07-29,106.1283,106.16235202116115,-0.032,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_STAPLES,2026-07-28,2025-07-29,2025-07-29,261,100.0,6.162,2,2026-07-30,106.2297,106.16235202116115,0.063,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_STAPLES,2026-07-28,2025-07-29,2025-07-29,261,100.0,6.162,3,2026-07-31,107.2028,106.16235202116115,0.98,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_STAPLES,2026-07-28,2025-07-29,2025-07-29,261,100.0,6.162,4,2026-08-03,107.1952,106.16235202116115,0.973,statistical_fallback,fallback,False,False,close
SECT_CONSUMER_STAPLES,2026-07-28,2025-07-29,2025-07-29,261,100.0,6.162,5,2026-08-04,106.3299,106.16235202116115,0.158,statistical_fallback,fallback,False,False,close
SECT_ENERGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,-11.514,1,2026-07-29,88.4082,88.48584727480382,-0.088,statistical_fallback,fallback,False,False,close
SECT_ENERGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,-11.514,2,2026-07-30,88.1321,88.48584727480382,-0.4,statistical_fallback,fallback,False,False,close
SECT_ENERGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,-11.514,3,2026-07-31,88.1055,88.48584727480382,-0.43,statistical_fallback,fallback,False,False,close
SECT_ENERGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,-11.514,4,2026-08-03,88.3765,88.48584727480382,-0.124,statistical_fallback,fallback,False,False,close
