pair,corr_Calm,corr_Transition,corr_Stress,corr_all,delta_stress_calm
Materials × ConsStpl,,-0.47854384408035777,0.05207275072201048,-0.05239827291470617,
Materials × HlthCare,,0.08081642514202232,-0.11330328798026588,-0.01546958709969318,
Materials × Energy,,-0.1181215054260137,-0.1630685275074755,-0.0691972204581125,
Materials × Fins,,-0.08839534691778192,0.3013475509123977,0.2228800599733098,
ConsStpl × HlthCare,,0.05275029664839481,-0.3335076769713026,-0.23600344587309788,
ConsStpl × Utilities,,-0.09452081648617254,-0.1323917779086458,-0.10995052089243708,
HlthCare × Utilities,,-0.403382172586118,0.16756736052974125,0.06860651685387377,
Industrials × Utilities,,0.4076387223760034,0.21631685510173576,0.3689435663014537,
InfoTech × REITs,,0.3058500853724158,0.3954348470090303,0.34277901947144973,
ConsDisc × InfoTech,,-0.08449692408939966,-0.42603618561088713,-0.2714759941124581,
Energy × Utilities,,-0.03432443486398232,-0.32550000817782204,-0.08939978640781962,
Fins × REITs,,0.11803002228526745,0.15760850492242592,0.11366564145959564,
