as_of_date,n,n_dual,dual_rate,median_composite,mean_composite,delta_n_dual
2024-06-30,115,0,0.0,0.5657,0.51862,
2024-09-30,115,0,0.0,0.5474,0.5212834782608696,0.0
2024-12-31,115,0,0.0,0.5604,0.5193121739130434,0.0
2025-03-31,115,0,0.0,0.5518,0.5228921739130435,0.0
2025-06-30,115,0,0.0,0.5622,0.5251304347826087,0.0
2025-09-30,115,0,0.0,0.5639,0.51968,0.0
2025-12-31,115,0,0.0,0.5519,0.5212869565217392,0.0
2026-03-31,115,0,0.0,0.5494,0.5168608695652174,0.0
2026-06-30,115,0,0.0,0.5554,0.5234982608695652,0.0
2026-07-28,75,0,0.0,0.5566,0.560288,0.0
2026-07-29,67,5,0.07462686567164178,0.5062,0.4899313432835821,5.0
2026-07-30,89,0,0.0,0.3724,0.29750337078651684,-5.0
