t,p05,p25,p50,p75,p95,mean
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9254508982497697,0.9770897421337743,1.0008669846141343,1.0270470146847126,1.1114152369783308,1.00654370286763
2,0.9009464384071464,0.9704223242668362,1.0032471753350163,1.0427189329515982,1.157539380449736,1.0130129753889623
3,0.8775442672916209,0.9673015782244405,1.0070789454252906,1.0561249576557756,1.2127105037195378,1.0198364752967572
4,0.8647217270459567,0.9647909879726984,1.0100728000040429,1.0726853125218339,1.2420304650693206,1.026196748794565
5,0.8477531420819813,0.9619407279192058,1.0121802786158334,1.0872882495908396,1.2885222226666333,1.0337014879115924
6,0.8398802989296558,0.9614640423466432,1.014102490647515,1.1021848001259802,1.3178311784827987,1.0405519004837849
7,0.8261537513096702,0.9567426228664723,1.017320893905668,1.1165439002453432,1.3518212290025098,1.047418048929537
8,0.825094375237608,0.9546718143327512,1.0200515864962996,1.1266979181572663,1.377262159024115,1.0539360616133022
9,0.8161065236413046,0.9551551364510811,1.025212252859649,1.131227107256932,1.412233530064069,1.0609178937704635
10,0.8116704580844438,0.9558758027126171,1.030523035572258,1.1430892567519975,1.4412051491430402,1.0670911075359106
11,0.8030612620903563,0.9548860127512502,1.0332078265445381,1.1548618059757496,1.4769027196260083,1.0748517871265244
12,0.7996785353894758,0.9545992013652709,1.0331992819850682,1.1726739479573125,1.4879822211082592,1.0818059137040124
13,0.7999157806673526,0.9558920105666409,1.0391216506925818,1.188148797021094,1.5357028294037416,1.0893075308055429
14,0.7958033592819261,0.9566458868636623,1.0428245958437645,1.1873978471705815,1.5650168411664118,1.0969027741914466
15,0.7891194489579949,0.9560938237554569,1.0498029611641857,1.2060191428927072,1.5850934003325177,1.1034626423231926
16,0.7860000280674037,0.955571064034289,1.0541943251523471,1.2186509904988414,1.6071739340295355,1.1107942486165034
17,0.7800916715201498,0.9538417170825652,1.0530397386203847,1.228019143689903,1.6467529206550338,1.11830229838219
18,0.7875731692959086,0.9515509772493442,1.056250613304556,1.239844644742953,1.6682743521527996,1.1252551377972206
19,0.7793479312553112,0.9565475206127054,1.0653277880375447,1.2493953794678188,1.6994182897860972,1.1324691829892495
20,0.7677718130274429,0.9593183391052889,1.0694631139461164,1.265170218650841,1.7407864204993586,1.140489179623637
21,0.7770579108480387,0.9559229802306803,1.0711652066233963,1.2686887091793522,1.7398584826894088,1.1481102034437838
22,0.768008951032704,0.9563729515635462,1.0771823935679417,1.2815697528824943,1.7662295918386741,1.1553655669973515
23,0.7643577055001965,0.9581832124599916,1.0844666007564614,1.2939478725314508,1.7720847018923218,1.1615861204186437
24,0.7552185707149931,0.9613299737926401,1.0868969421804975,1.3090050643090876,1.808613982791751,1.1694835450508845
25,0.7525488300305018,0.9565060806803237,1.0870777334171753,1.3326695597553193,1.862509748487581,1.1775787414810446
26,0.74977465526123,0.9568688438581257,1.0938729149198725,1.3495482904814582,1.8854753697561746,1.1857151804698103
27,0.754183805394592,0.9606755349794425,1.0976238920251034,1.3608441847925263,1.8978171502849346,1.192748314897175
28,0.7458177629640297,0.9624773497306299,1.1075184608554225,1.3625723322596015,1.9279801155215313,1.2003974862560565
