pair_id,group,asset_a,asset_b,coint_t,p_value,beta,half_life,fdr_survive,usable,fold
ASTS|GSAT,Telecom Services,ASTS,GSAT,-5.0383306648322295,1.8626167482977625e-05,0.5513853843892741,5.009920479072891,True,True,0
IYR|VIG,ETF,IYR,VIG,-4.298748256990883,0.0004464347095738499,0.6806035138134582,7.033686374899089,True,True,0
HON|MMM,Industrial Conglomerates,HON,MMM,-4.223908299330585,0.000600117947362639,1.5329623975490443,7.766030184123704,True,True,0
IYR|USMV,ETF,IYR,USMV,-4.185711187395939,0.0006965731440330942,0.6435048401548896,6.418648717576296,True,True,0
AEP|D,Electric Utilities,AEP,D,-4.0673148306036175,0.0010962796460518595,0.6712265719454427,7.68587290646067,True,True,0
LXU|UAN,Fertilizers & Agricultural Chemicals,LXU,UAN,-4.060775067175473,0.0011236630525514517,0.7964338677131494,11.478874184275849,True,True,0
NTR|UAN,Fertilizers & Agricultural Chemicals,NTR,UAN,-4.049119265835769,0.0011740589722015456,2.1460103235155534,15.725734470502681,True,True,0
BKSY|CW,Aerospace & Defense,BKSY,CW,-4.008638862941939,0.0013659450841902055,-0.08955224759200153,8.483613026314641,True,True,0
BKSY|RTX,Aerospace & Defense,BKSY,RTX,-3.883396148187577,0.0021604978549944294,-0.09326742243132574,11.669801333100846,True,True,0
ASTS|IRDM,Telecom Services,ASTS,IRDM,-3.8068236156380815,0.0028382669991264494,0.17507812328067004,7.4873117016076165,True,True,0
GSAT|IRDM,Telecom Services,GSAT,IRDM,-3.7091155443111647,0.003986747579592437,0.2790288037236465,5.675577863185576,True,True,0
BKSY|GD,Aerospace & Defense,BKSY,GD,-3.6863997185852733,0.0043085724521486875,-0.12179166149763565,12.401863360962333,True,True,0
CPB|KHC,Packaged Foods,CPB,KHC,-3.628922414877039,0.0052315673007284486,0.6785488919861554,14.605880613010743,True,True,0
BMY|JNJ,Pharmaceuticals,BMY,JNJ,-3.570913767633439,0.006342069468557278,0.39855965012510675,9.793540741328728,True,True,0
DVY|XLP,ETF,DVY,XLP,-3.545032382039548,0.006903142263654792,0.8996337884116756,13.22986030973777,True,True,0
CF|UAN,Fertilizers & Agricultural Chemicals,CF,UAN,-3.516831309462323,0.007565206945345745,1.5181855528357961,20.575495169121325,True,True,0
ICL|UAN,Fertilizers & Agricultural Chemicals,ICL,UAN,-3.51075420067805,0.007715160872322403,1.9702339782216263,12.832958504186113,True,True,0
BA|HII,Aerospace & Defense,BA,HII,-3.5047973342197336,0.007864739750329253,-0.10986494185874805,13.606346124733507,True,True,0
IYR|SCHD,ETF,IYR,SCHD,-3.495990845007579,0.008090656610377066,0.5281376904910924,13.71900121281722,True,True,0
SPLV|VYM,ETF,SPLV,VYM,-3.476563002968895,0.008609806388706764,0.8405181349381647,11.7153431471441,True,True,0
LXU|NTR,Fertilizers & Agricultural Chemicals,LXU,NTR,-3.4454084566298127,0.009504931226696715,0.3440934328473786,10.901706560195764,True,True,0
GD|RTX,Aerospace & Defense,GD,RTX,-3.441908510981288,0.009610524836148887,0.7947702465721527,10.470241326597659,True,True,0
RKLB|TDG,Aerospace & Defense,RKLB,TDG,-3.436310404499553,0.009781602968952688,0.07817862657481485,10.482083743851565,True,True,0
BA|RTX,Aerospace & Defense,BA,RTX,-3.393835692928129,0.011170815983126083,-0.2740941131952703,14.037668785801035,True,True,0
BKSY|HEI,Aerospace & Defense,BKSY,HEI,-3.3791831284879463,0.011689321135935841,-0.03665286729796291,13.576303117150804,True,True,0
NOC|RTX,Aerospace & Defense,NOC,RTX,-3.3570571870132904,0.012512856766192234,0.5918636171424962,12.128463198155718,True,True,0
ENPH|SEDG,Solar,ENPH,SEDG,-3.3506290571851194,0.012761571160336308,0.5474420633173114,10.537559559898503,True,True,0
BKSY|HII,Aerospace & Defense,BKSY,HII,-3.272263066970063,0.016164766399332,-0.028440267144799133,15.316096780279038,True,True,0
MCHP|MTSI,Semiconductors,MCHP,MTSI,-3.2648561668626144,0.01652437713938774,1.2566663130187137,12.098087562752355,True,True,0
AMD|STM,Semiconductors,AMD,STM,-3.2606006530231655,0.016734145655002773,0.5418625008289819,12.076691198153872,True,True,0
NOC|TDG,Aerospace & Defense,NOC,TDG,-3.2550574818367246,0.017010887740423145,-0.04575053861246087,12.155368424828232,True,True,0
BA|GD,Aerospace & Defense,BA,GD,-3.239122017292636,0.017828925465370227,-0.3810996433614218,16.822716694604548,True,True,0
BKSY|TDG,Aerospace & Defense,BKSY,TDG,-3.2340868409111208,0.018094461987127927,0.015252934967549613,12.29003018912034,True,True,0
LMT|TDG,Aerospace & Defense,LMT,TDG,-3.22810606694945,0.01841435297179502,-0.034671069071137206,12.359906368630991,True,True,0
BA|TDG,Aerospace & Defense,BA,TDG,-3.2246518174856056,0.018601350760165176,0.16672739366596878,11.997645618442169,True,True,0
BA|NOC,Aerospace & Defense,BA,NOC,-3.216033114002403,0.019075176109603225,-0.5622605233742414,14.929188160872522,True,True,0
HII|TDG,Aerospace & Defense,HII,TDG,-3.202779041725243,0.019824379865664495,0.002515322023425859,12.565526819045639,True,True,0
BA|CW,Aerospace & Defense,BA,CW,-3.1820315168931192,0.02104861053336394,-0.23818584525269978,14.029642267325364,True,True,0
GD|TDG,Aerospace & Defense,GD,TDG,-3.181212130411447,0.02109827847443985,0.02619687937846049,12.729772259535228,True,True,0
CW|GD,Aerospace & Defense,CW,GD,-3.1758281073846244,0.021427174502208133,1.131246771715969,13.863011945435462,True,True,0
HEI|HII,Aerospace & Defense,HEI,HII,-3.1597885186977592,0.022433489336611892,0.3185436325898068,18.392186247064554,True,True,0
