pair_id,group,n_trades,win_rate,avg_pnl,total_pnl,avg_gross_pnl,sharpe,folds
ASTS|IRDM,,3,0.667,0.10494,0.31482,0.10654,2.118,1
BA|HEI,,2,1.0,0.14426,0.28852,0.14586,23.737,1
BKSY|CW,,2,0.5,-0.05299,-0.10598,-0.05139,-1.955,1
BKSY|HII,,1,0.0,-0.14963,-0.14963,-0.14803,0.0,1
BKSY|LMT,,2,0.0,-0.07133,-0.14265,-0.06973,-8.913,1
BKSY|TDG,,1,1.0,0.09957,0.09957,0.10117,0.0,1
CW|HEI,,3,0.0,-0.11775,-0.35326,-0.11616,-4.896,1
GSAT|IRDM,,2,0.5,0.11652,0.23304,0.11811,1.74,1
HON|MMM,,4,0.75,0.05483,0.21932,0.05643,0.883,1
IYR|SCHD,,3,0.0,-0.00718,-0.02155,-0.00559,-4.141,1
IYR|VIG,,3,1.0,0.02939,0.08816,0.03098,4.448,1
LXU|UAN,,3,0.333,-0.04574,-0.13723,-0.04415,-0.662,1
NTR|UAN,,1,0.0,-0.05462,-0.05462,-0.05302,0.0,1
RKLB|TDG,,34,0.676,0.00114,0.03864,0.00217,0.321,1
SCHD|SPLV,,3,0.333,-0.0052,-0.01559,-0.0036,-0.936,1
SPLV|VYM,,2,0.5,-0.00916,-0.01831,-0.00756,-0.865,1
XLP|XLV,,3,0.667,0.01195,0.03584,0.01354,1.349,1
