pair_id,entry_date,exit_date,entry_z,exit_z,bars_held,exit_reason,hedged_pnl,z_pnl,fold
IYR|VIG,2022-10-06,2023-01-03,2.024,2.216,60,time,0.04998,0.192,0
IYR|VIG,2023-01-04,2023-03-31,2.184,2.262,60,time,0.0194,0.079,0
IYR|VIG,2023-04-03,2023-06-29,2.311,2.405,60,time,0.02357,0.093,0
HON|MMM,2022-08-10,2022-11-03,-2.405,-2.673,60,time,0.23275,0.268,0
HON|MMM,2022-11-04,2023-02-02,-2.683,-2.715,60,time,0.02919,0.032,0
HON|MMM,2023-02-03,2023-05-02,-2.703,-2.803,60,time,0.08633,0.101,0
HON|MMM,2023-05-03,2023-07-31,-2.802,-2.674,60,time,-0.12257,-0.128,0
LXU|UAN,2022-08-11,2022-11-04,2.134,1.597,60,time,-0.17952,-0.537,0
LXU|UAN,2022-11-07,2023-02-03,2.03,1.607,60,time,-0.10438,-0.423,0
LXU|UAN,2023-02-28,2023-05-24,2.033,2.696,60,time,0.15146,0.663,0
NTR|UAN,2023-05-03,2023-07-31,2.117,1.969,60,time,-0.05302,-0.148,0
BKSY|CW,2022-11-23,2023-02-22,2.011,2.04,60,time,0.00415,0.029,0
BKSY|CW,2023-02-23,2023-05-19,2.037,1.228,60,time,-0.10694,-0.809,0
ASTS|IRDM,2022-10-27,2023-01-25,2.101,2.925,60,time,0.20482,0.824,0
ASTS|IRDM,2023-01-26,2023-04-24,2.935,3.552,60,time,0.14808,0.618,0
ASTS|IRDM,2023-04-25,2023-07-21,3.417,3.271,60,time,-0.03329,-0.145,0
GSAT|IRDM,2022-12-20,2023-03-20,2.009,2.376,60,time,0.25537,0.367,0
GSAT|IRDM,2023-03-21,2023-06-15,2.372,2.344,60,time,-0.01914,-0.027,0
IYR|SCHD,2022-10-24,2023-01-20,2.064,2.064,60,time,-0.00267,-0.001,0
IYR|SCHD,2023-01-23,2023-04-19,2.086,2.074,60,time,-0.0035,-0.013,0
IYR|SCHD,2023-04-20,2023-07-18,2.071,2.032,60,time,-0.01059,-0.039,0
SPLV|VYM,2022-10-26,2023-01-24,2.057,2.265,60,time,0.01414,0.208,0
SPLV|VYM,2023-01-25,2023-04-21,2.28,1.831,60,time,-0.02926,-0.449,0
RKLB|TDG,2022-08-10,2022-09-22,2.326,-0.185,30,revert,-0.12352,-2.511,0
RKLB|TDG,2022-11-10,2023-01-25,2.229,4.066,50,stop,0.10039,1.837,0
RKLB|TDG,2023-01-26,2023-01-27,4.336,4.332,1,stop,-0.00019,-0.003,0
RKLB|TDG,2023-01-30,2023-01-31,4.258,4.511,1,stop,0.0134,0.254,0
RKLB|TDG,2023-02-01,2023-02-02,4.783,4.275,1,stop,-0.02648,-0.507,0
RKLB|TDG,2023-02-03,2023-02-06,4.3,4.595,1,stop,0.01534,0.296,0
RKLB|TDG,2023-02-07,2023-02-08,5.178,5.513,1,stop,0.01765,0.334,0
RKLB|TDG,2023-02-09,2023-02-10,5.403,4.907,1,stop,-0.02588,-0.496,0
RKLB|TDG,2023-02-13,2023-02-14,5.186,5.496,1,stop,0.01634,0.309,0
RKLB|TDG,2023-02-15,2023-02-16,5.749,5.315,1,stop,-0.02249,-0.434,0
RKLB|TDG,2023-02-17,2023-02-21,5.213,5.143,1,stop,-0.00385,-0.071,0
RKLB|TDG,2023-02-22,2023-02-23,5.227,5.386,1,stop,0.00835,0.159,0
RKLB|TDG,2023-02-24,2023-02-27,5.305,5.401,1,stop,0.00502,0.096,0
RKLB|TDG,2023-02-28,2023-03-01,5.34,5.554,1,stop,0.01124,0.214,0
RKLB|TDG,2023-03-02,2023-03-03,5.814,5.906,1,stop,0.00467,0.092,0
RKLB|TDG,2023-03-07,2023-03-08,5.853,5.932,1,stop,0.00417,0.08,0
