ticker,sector,growth_sleeve,value_sleeve,defensive_value_index,growth_tech_index,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,earnings_stability,interest_coverage,mktcap_to_assets,slope_per_period_roe,slope_per_period_roic,slope_per_period_debt_to_equity,slope_per_period_ev_ebitda,slope_per_period_pb_ratio,slope_per_period_earnings_stability,slope_per_period_interest_coverage,slope_per_period_mktcap_to_assets,recent_vs_early_pct_roe,recent_vs_early_pct_roic,recent_vs_early_pct_debt_to_equity,recent_vs_early_pct_ev_ebitda,recent_vs_early_pct_pb_ratio,recent_vs_early_pct_earnings_stability,recent_vs_early_pct_interest_coverage,recent_vs_early_pct_mktcap_to_assets,latest_value_roe,latest_value_roic,latest_value_debt_to_equity,latest_value_ev_ebitda,latest_value_pb_ratio,latest_value_earnings_stability,latest_value_interest_coverage,latest_value_mktcap_to_assets,pct_change_roe,pct_change_roic,pct_change_debt_to_equity,pct_change_ev_ebitda,pct_change_pb_ratio,pct_change_earnings_stability,pct_change_interest_coverage,pct_change_mktcap_to_assets,total_change_roe,total_change_roic,total_change_debt_to_equity,total_change_ev_ebitda,total_change_pb_ratio,total_change_earnings_stability,total_change_interest_coverage,total_change_mktcap_to_assets,n_obs_roe,n_obs_roic,n_obs_debt_to_equity,n_obs_ev_ebitda,n_obs_pb_ratio,n_obs_earnings_stability,n_obs_interest_coverage,n_obs_mktcap_to_assets,is_recovery_roe,is_recovery_roic,is_recovery_debt_to_equity,is_recovery_ev_ebitda,is_recovery_pb_ratio,is_recovery_earnings_stability,is_recovery_mktcap_to_assets,is_recovery_interest_coverage,is_deteriorating_roe,is_deteriorating_roic,is_deteriorating_debt_to_equity,is_deteriorating_ev_ebitda,is_deteriorating_pb_ratio,is_deteriorating_earnings_stability,is_deteriorating_mktcap_to_assets,is_deteriorating_interest_coverage,strong_trend_roe,strong_trend_roic,strong_trend_debt_to_equity,strong_trend_ev_ebitda,strong_trend_pb_ratio,strong_trend_earnings_stability,strong_trend_mktcap_to_assets,strong_trend_interest_coverage,trend_direction_roe,trend_direction_roic,trend_direction_debt_to_equity,trend_direction_ev_ebitda,trend_direction_pb_ratio,trend_direction_earnings_stability,trend_direction_mktcap_to_assets,trend_direction_interest_coverage,overall_slope_roe,overall_slope_roic,overall_slope_debt_to_equity,overall_slope_ev_ebitda,overall_slope_pb_ratio,overall_slope_earnings_stability,overall_slope_mktcap_to_assets,overall_slope_interest_coverage,recent_vs_early_pct_roe_right,recent_vs_early_pct_roic_right,recent_vs_early_pct_debt_to_equity_right,recent_vs_early_pct_ev_ebitda_right,recent_vs_early_pct_pb_ratio_right,recent_vs_early_pct_earnings_stability_right,recent_vs_early_pct_mktcap_to_assets_right,recent_vs_early_pct_interest_coverage_right,latest_value_roe_right,latest_value_roic_right,latest_value_debt_to_equity_right,latest_value_ev_ebitda_right,latest_value_pb_ratio_right,latest_value_earnings_stability_right,latest_value_mktcap_to_assets_right,latest_value_interest_coverage_right,best_peer_group,best_ret_rank,best_vol_rank,best_sharpe_rank,best_n_peers,avg_beta_to_peers,high_beta_any_group,low_beta_any_group,avg_beta_vs_median,recovery_count,deterioration_count,strong_trend_count,fundamental_signal,peer_signal,beta_signal
SCHD,Multi-Sector,,defensive_etf,true,false,0.18,0.14,0.7,12.0,3.0,0.9,12.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sector_Multi-Sector,1.0,0.0,0.6,5,-4.371018769852101,false,true,-5.441309954643825,0,0,0,NEUTRAL,PEER_AVERAGE,LOW_BETA
ABBV,Health Care,,,true,false,0.8,0.2,3.5,,-67.09,0.78,8.0,3.308,0.0012023430777716496,-0.001653838110690464,0.146221236704525,,,,-0.5129701099693527,,0.36042853498852157,-0.14639351259069566,-0.219098616688978,,,,-0.8408308628956845,,0.8,0.2,3.5,,,,8.0,,0.05669901336837475,-0.3141123620127648,1.2732914496343815,,,,-0.34120772713984104,,0.042082007722007736,-0.07111503875968996,6.287513178294575,,,,-22.057714728682164,,36,44,44,,,,44,,false,false,false,,,,,false,false,false,true,,,,,false,0.0,0.0,0.0,,,,,1.0,improving,declining,improving,,,,,declining,0.0012023430777716496,-0.001653838110690464,0.146221236704525,,,,,-0.5129701099693527,0.36042853498852157,-0.14639351259069566,-0.219098616688978,,,,,-0.8408308628956845,0.8,0.2,3.5,,,,,8.0,sector_Health Care,0.8,0.4,0.6,10,1.497604433596628,false,false,0.6160950241354581,0,1,1,NEUTRAL,PEER_AVERAGE,NEUTRAL_BETA
CAG,Consumer Staples,,,true,false,0.1,0.07,0.9,8.5,1.1,0.65,4.0,0.352,0.0001279708353929803,-0.0003246559139784946,-0.0027234358403399,,,,0.004012688172043006,,0.06482320942883037,0.5193717277486911,0.2029494382022473,,,,0.32146520146520147,,0.1,0.07,0.9,,,,4.0,,0.0938728889614095,-0.6810963230318068,-0.2336562394665737,,,,0.11924779114540879,,0.00870201680672266,-0.019479354838709675,-0.1661295862607339,,,,0.24076129032258037,,69,61,62,,,,61,,false,true,true,,,,,false,false,false,false,,,,,false,0.0,0.0,0.0,,,,,0.0,improving,declining,declining,,,,,improving,0.0001279708353929803,-0.0003246559139784946,-0.0027234358403399,,,,,0.004012688172043006,0.06482320942883037,0.5193717277486911,0.2029494382022473,,,,,0.32146520146520147,0.1,0.07,0.9,,,,,4.0,sector_Consumer Staples,0.15384615384615385,0.15384615384615385,0.23076923076923078,13,-2.32371029838542,false,true,-3.2255037705803358,2,0,0,RECOVERING,PEER_LAGGARD,LOW_BETA
VZ,Communication Services,,,true,false,0.2,0.08,1.8,,1.85,0.82,5.0,0.509,-0.044537405360910665,-0.014693298963326383,0.0015655493108039863,0.7709200408917999,0.060719656608785366,-0.5179815416684617,0.008835647985207,0.018705434063300698,-0.6907179866765359,-0.6611659511472983,0.035151368343398874,3.581563090801022,0.48556619249882815,-0.8329231897054911,-0.008722186455476283,0.5829527468735749,0.2,0.08,1.8,7.5,1.85,0.82,5.0,0.509,-0.7576040119024131,-0.6845561220777239,0.009903547568981071,4.401668254980385,0.5450919160055713,-1.1609387091553498,0.019268879995255155,0.6498555413873944,-0.4899114589700173,-0.1616262885965902,0.01722104241884385,6.938280368026199,0.6679162226966391,-5.697796958353078,0.097192127837277,0.20575977469630768,12,12,12,10,12,7,7,12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,declining,declining,improving,improving,improving,declining,improving,improving,-0.044537405360910665,-0.014693298963326383,0.0015655493108039863,0.7709200408917999,0.060719656608785366,-0.5179815416684617,0.018705434063300698,0.008835647985207,-0.6907179866765359,-0.6611659511472983,0.035151368343398874,3.581563090801022,0.48556619249882815,-0.8329231897054911,0.5829527468735749,-0.008722186455476283,0.2,0.08,1.8,7.5,1.85,0.82,0.509,5.0,defensive_index,0.5432098765432098,0.8518518518518519,0.8148148148148148,81,0.08029293260096718,false,true,-0.6151086087956428,0,0,6,STRONG_TREND,PEER_LEADER,LOW_BETA
BAYRY,Health Care,,,true,false,0.05,0.04,0.9,,1.66,0.5,3.0,0.453,0.003917006802721087,-0.0023183673469387746,-0.07224489795918367,1.4502857142857142,0.2705170068027211,,,0.07110204081632653,0.35317997293640074,-0.2571959145775301,-0.2822966507177033,0.47615097469929507,7.166259168704156,,,6.467213114754099,0.05,0.04,0.9,7.5,1.66,,,0.453,0.6854761904761902,-0.30220803405160934,-0.403280929596719,0.5924369747899159,10.461983688503027,,,9.216931216931217,0.02741904761904761,-0.016228571428571422,-0.5057142857142857,7.251428571428571,1.8936190476190478,,,0.49771428571428566,8,8,8,6,8,,,8,false,false,false,false,false,,false,,false,false,false,false,false,,false,,0.0,0.0,1.0,1.0,1.0,,1.0,,improving,declining,declining,improving,improving,,improving,,0.003917006802721087,-0.0023183673469387746,-0.07224489795918367,1.4502857142857142,0.2705170068027211,,0.07110204081632653,,0.35317997293640074,-0.2571959145775301,-0.2822966507177033,0.47615097469929507,7.166259168704156,,6.467213114754099,,0.05,0.04,0.9,7.5,1.66,,0.453,,defensive_index,0.2839506172839506,0.6172839506172839,0.3333333333333333,81,0.532211354055908,false,false,-0.34929805540526193,0,0,4,STRONG_TREND,PEER_AVERAGE,NEUTRAL_BETA
SYF,Financials,,,true,false,,,,,1.68,,,0.19,-9.78284086863656e-6,,-0.01884824229313143,,-0.005951076923076925,,,-0.0016365230769230775,-0.0830093757146124,,-0.4231075697211156,,-0.03538812785388131,,,-0.20208333333333328,0.18,,1.2,,1.68,,,0.19,-0.0031966126142893812,,-0.42080707092661035,,-0.18254837187352535,,,-0.3702540898016012,-0.0005184905660377377,,-0.8104744186046515,,-0.2975538461538463,,,-0.08182615384615387,54,,44,,51,,,51,false,,false,,false,,false,,false,,false,,false,,false,,0.0,,1.0,,0.0,,0.0,,declining,,declining,,declining,,declining,,-9.78284086863656e-6,,-0.01884824229313143,,-0.005951076923076925,,-0.0016365230769230775,,-0.0830093757146124,,-0.4231075697211156,,-0.03538812785388131,,-0.20208333333333328,,0.18,,1.2,,1.68,,0.19,,defensive_index,0.3950617283950617,0.7901234567901234,0.6296296296296297,81,0.3462979561497998,false,false,-0.4787224693231369,0,0,1,NEUTRAL,PEER_AVERAGE,NEUTRAL_BETA
DVN,Energy,,,true,false,0.18,0.12,0.5,4.5,1.5,0.5,10.0,0.9,0.003851972789115646,0.011895789241622575,-0.022832211720226845,,,,0.3127525720164609,,0.06768121746095325,-2.6454545454545455,-0.672457627118644,,,,-3.5312746179297303,,0.18,0.12,0.5,,,,10.0,,1.173870680183262,-9.085892772950764,-0.3524435366209513,,,,-3.69231283097702,,0.26963809523809523,0.642372619047619,-0.5251408695652174,,,,16.888638888888888,,71,55,24,,,,55,,false,false,false,,,,,false,false,true,false,,,,,true,0.0,0.0,1.0,,,,,0.0,improving,improving,declining,,,,,improving,0.003851972789115646,0.011895789241622575,-0.022832211720226845,,,,,0.3127525720164609,0.06768121746095325,-2.6454545454545455,-0.672457627118644,,,,,-3.5312746179297303,0.18,0.12,0.5,,,,,10.0,defensive_index,0.2962962962962963,0.8024691358024691,0.5679012345679012,81,-0.34660763684997165,false,true,-1.5321619459571698,0,2,1,DETERIORATING,PEER_AVERAGE,LOW_BETA
XLP,Consumer Staples,,defensive_etf,true,false,0.18,0.12,0.8,14.0,4.5,0.9,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sector_Consumer Staples,0.5384615384615384,1.0,0.3076923076923077,13,-0.19615968063200417,false,true,-1.095630601230485,0,0,0,NEUTRAL,PEER_AVERAGE,LOW_BETA
JPM,Financials,,,true,false,0.15,0.12,1.2,10.0,1.8,0.8,6.0,0.15,0.0014937755102040814,0.0019150442176870744,-0.011672373243874084,,0.021353071168028974,,,0.0016868571225715989,9.470198675496688,2.3368200836820083,-0.4242064669237616,,2.9859013091641486,,,3.0789473684210518,0.15,0.12,1.2,,1.8,,,0.15,6.9709523809523795,2.1832751667442216,-0.4965436213485276,,3.2381580452615366,,,3.3255183273554376,0.10456428571428569,0.13405309523809522,-0.8053937538273118,,1.4733619105939992,,,0.11639314145744033,71,71,70,,70,,,70,false,false,false,,false,,false,,false,false,false,,false,,false,,0.0,0.0,1.0,,1.0,,0.0,,improving,improving,declining,,improving,,improving,,0.0014937755102040814,0.0019150442176870744,-0.011672373243874084,,0.021353071168028974,,0.0016868571225715989,,9.470198675496688,2.3368200836820083,-0.4242064669237616,,2.9859013091641486,,3.0789473684210518,,0.15,0.12,1.2,,1.8,,0.15,,defensive_index,0.7530864197530864,0.09876543209876543,0.43209876543209874,81,2.5346912907741435,true,false,1.7096708653012067,0,0,2,NEUTRAL,PEER_AVERAGE,HIGH_BETA
T,Communication Services,,,true,false,0.1,0.06,1.2,,1.45,0.8,4.0,0.399,-0.0250994546723481,-0.008979967275092532,-0.017449161670587222,0.7494714208637857,0.0534481300638444,-0.007285770858947146,0.0831503357727798,0.01730893968392069,-0.7149521623642882,-0.5890718725017408,-0.1444979779803023,3.2892542119750745,0.6072505331408643,-0.07193783679348699,0.21496188129073873,0.6792135325515387,0.1,0.06,1.2,7.0,1.45,0.8,4.0,0.399,-0.858545433622607,-0.7380242274698842,-0.14927793091735975,5.301386004191427,0.7339273707258456,-0.10142472395972192,0.30307346514135947,0.9035518029916871,-0.3011934560681772,-0.1077596073011104,-0.20938994004704667,7.494714208637857,0.6413775607661327,-0.08742925030736574,0.9978040292733577,0.20770727620704826,12,12,12,10,12,7,7,12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,declining,declining,declining,improving,improving,declining,improving,improving,-0.0250994546723481,-0.008979967275092532,-0.017449161670587222,0.7494714208637857,0.0534481300638444,-0.007285770858947146,0.01730893968392069,0.0831503357727798,-0.7149521623642882,-0.5890718725017408,-0.1444979779803023,3.2892542119750745,0.6072505331408643,-0.07193783679348699,0.6792135325515387,0.21496188129073873,0.1,0.06,1.2,7.0,1.45,0.8,0.399,4.0,sector_Communication Services,0.16666666666666666,0.5,0.16666666666666666,6,0.015318141494256504,false,true,-0.6800833999023534,0,0,6,STRONG_TREND,PEER_LAGGARD,LOW_BETA
