group,metric,n,mean,median,std,p25,p75
sector_Real Estate,roe,4,0.0625,0.06,0.010897247358851683,0.057499999999999996,0.065
sector_Real Estate,roic,4,0.0425,0.04,0.004330127018922195,0.04,0.0425
sector_Real Estate,debt_to_equity,4,0.95,1.0,0.25980762113533157,0.75,1.2
sector_Real Estate,ev_ebitda,2,15.5,15.5,0.5,15.25,15.75
sector_Real Estate,pb_ratio,3,1.9666666666666668,2.0,0.4496912521077347,1.7,2.25
sector_Real Estate,earnings_stability,4,0.8125,0.8,0.05448623679425842,0.7875000000000001,0.8250000000000001
sector_Real Estate,interest_coverage,4,3.5,3.0,0.8660254037844386,3.0,3.5
sector_Real Estate,mktcap_to_assets,4,1.06,1.0,0.293288254111889,0.9285,1.1315
sector_Industrials,roe,13,0.19384615384615383,0.16,0.1718469113680708,0.12,0.28
sector_Industrials,roic,13,0.11000000000000001,0.12,0.06480740698407861,0.08,0.15
sector_Industrials,debt_to_equity,13,1.7615384615384617,1.5,1.4536629921252573,0.8,1.8
sector_Industrials,ev_ebitda,6,17.0,14.5,5.5377492419453835,13.25,18.75
sector_Industrials,pb_ratio,18,12.399444444444445,7.5,12.239058366204405,4.3625,16.025000000000002
sector_Industrials,earnings_stability,13,0.7346153846153847,0.8,0.15677594912757525,0.7,0.85
sector_Industrials,interest_coverage,13,7.923076923076923,8.0,4.445594854399966,6.0,12.0
sector_Industrials,mktcap_to_assets,17,4.784941176470588,1.864,8.524797409844572,1.606,2.584
sector_Health Care,roe,10,0.281,0.2,0.21473006310249157,0.165,0.2875
sector_Health Care,roic,10,0.15500000000000003,0.155,0.065612498809297,0.12,0.18
sector_Health Care,debt_to_equity,10,1.025,0.7,0.897566153550812,0.625,1.05
sector_Health Care,ev_ebitda,4,17.75,13.5,10.18270592720815,11.25,20.0
sector_Health Care,pb_ratio,10,1.1509999999999996,3.8200000000000003,25.866724744350606,1.845,6.53
sector_Health Care,earnings_stability,10,0.771,0.79,0.11273420066687838,0.7124999999999999,0.8474999999999999
sector_Health Care,interest_coverage,10,12.3,12.0,6.1,8.25,14.25
sector_Health Care,mktcap_to_assets,9,2.869222222222222,2.2,2.900227798630759,1.27,3.308
sector_Energy,roe,5,0.14800000000000002,0.14,0.020396078054371138,0.14,0.16
sector_Energy,roic,5,0.11000000000000001,0.11,0.008944271909999154,0.1,0.12
sector_Energy,debt_to_equity,5,0.36,0.35,0.12409673645990855,0.25,0.5
sector_Energy,ev_ebitda,3,6.0,6.5,1.0801234497346435,5.5,6.75
