policy_regime,label,ticker,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets,active_policy
low_vol,quality_at_fair_price,FITB,0.15,0.15,0.25,8.0,1.3,0.14,False
low_vol,quality_at_fair_price,RF,0.15,0.15,0.2,7.5,1.1,0.12,False
low_vol,quality_at_fair_price,IVZ,0.15,0.15,0.4,6.5,1.0,0.2,False
low_vol,quality_at_fair_price,BEN,0.16,0.15,0.3,7.0,1.2,0.25,False
low_vol,quality_at_fair_price,HBAN,0.15,0.15,0.2,7.0,1.2,0.11,False
low_vol,quality_at_fair_price,HPQ,0.2,0.15,0.8,7.0,1.4,0.6,False
normal,base_dual_pass,FITB,0.15,0.15,0.25,8.0,1.3,0.14,True
normal,base_dual_pass,RF,0.15,0.15,0.2,7.5,1.1,0.12,True
normal,base_dual_pass,IVZ,0.15,0.15,0.4,6.5,1.0,0.2,True
normal,base_dual_pass,BEN,0.16,0.15,0.3,7.0,1.2,0.25,True
normal,base_dual_pass,HBAN,0.15,0.15,0.2,7.0,1.2,0.11,True
high_vol_stress,defensive_dual_tight,FITB,0.15,0.15,0.25,8.0,1.3,0.14,False
high_vol_stress,defensive_dual_tight,RF,0.15,0.15,0.2,7.5,1.1,0.12,False
high_vol_stress,defensive_dual_tight,IVZ,0.15,0.15,0.4,6.5,1.0,0.2,False
high_vol_stress,defensive_dual_tight,BEN,0.16,0.15,0.3,7.0,1.2,0.25,False
high_vol_stress,defensive_dual_tight,HBAN,0.15,0.15,0.2,7.0,1.2,0.11,False
