basket,regime,n_names,n_days,ann_vol,mean_ret,max_dd,hit_neg
base_dual,high_vol_stress,5,40,0.25407349709705457,0.5171777241142452,-0.07162235295559771,0.475
near_1leg,high_vol_stress,2,40,0.2886291000803109,0.6067356717569964,-0.08833711372737951,0.475
near_2leg,high_vol_stress,13,40,0.21802702803636004,0.4312857026476633,-0.06382068875911073,0.425
universe_ew,high_vol_stress,142,40,0.20629813323232432,0.6710966563202271,-0.0502222545430816,0.425
leg_fail_rate_fail_roe,high_vol_stress,70,40,,,,0.49295774647887325
leg_fail_rate_fail_roic,high_vol_stress,104,40,,,,0.7323943661971831
leg_fail_rate_fail_de,high_vol_stress,48,40,,,,0.3380281690140845
leg_fail_rate_fail_ev,high_vol_stress,94,40,,,,0.6619718309859155
leg_fail_rate_fail_pb,high_vol_stress,104,40,,,,0.7323943661971831
leg_fail_rate_fail_mca,high_vol_stress,114,40,,,,0.8028169014084507
base_dual,low_vol,5,109,0.1235333278387943,0.10459192171655651,-0.09171978756676791,0.5137614678899083
near_1leg,low_vol,2,109,0.1808100387750932,-0.03582780969639303,-0.11154983995841805,0.5321100917431193
near_2leg,low_vol,13,109,0.09637119556545586,0.23258708120600735,-0.035932768063381526,0.41284403669724773
universe_ew,low_vol,142,109,0.08995002896363023,0.1117843652500099,-0.04379367503799825,0.5229357798165137
leg_fail_rate_fail_roe,low_vol,70,109,,,,0.49295774647887325
leg_fail_rate_fail_roic,low_vol,104,109,,,,0.7323943661971831
leg_fail_rate_fail_de,low_vol,48,109,,,,0.3380281690140845
leg_fail_rate_fail_ev,low_vol,94,109,,,,0.6619718309859155
leg_fail_rate_fail_pb,low_vol,104,109,,,,0.7323943661971831
leg_fail_rate_fail_mca,low_vol,114,109,,,,0.8028169014084507
base_dual,normal,5,91,0.12486605485123205,0.3087716679869561,-0.04807550462614585,0.45054945054945056
near_1leg,normal,2,91,0.1763514279087381,0.07628105764961625,-0.08776465963457236,0.5164835164835165
near_2leg,normal,13,91,0.11459108795418836,0.0511082880781835,-0.07141346489315448,0.5164835164835165
universe_ew,normal,142,91,0.10004086548181423,-0.01127873442729095,-0.06967398469039743,0.46153846153846156
leg_fail_rate_fail_roe,normal,70,91,,,,0.49295774647887325
leg_fail_rate_fail_roic,normal,104,91,,,,0.7323943661971831
leg_fail_rate_fail_de,normal,48,91,,,,0.3380281690140845
leg_fail_rate_fail_ev,normal,94,91,,,,0.6619718309859155
leg_fail_rate_fail_pb,normal,104,91,,,,0.7323943661971831
leg_fail_rate_fail_mca,normal,114,91,,,,0.8028169014084507
