mape,dir_acc,mape_pers,pers_dir,n_train,n_test,secs,tag,arm,ticker,regime,split_frac,steps,cap,lr,composition
6.16,61.9,5.61,32.8,100,134,155.1,boundary|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=None|pure,boundary,AEP,low_vol,0.55,3000,100,,pure
6.24,59.0,5.61,32.8,100,134,154.4,boundary+composition|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=None|all,boundary+composition,AEP,low_vol,0.55,3000,100,,all
6.37,61.2,5.61,32.8,100,134,152.0,boundary+freshness|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=None|fresh,boundary+freshness,AEP,low_vol,0.55,3000,100,,fresh
6.19,61.9,5.61,32.8,100,134,155.0,boundary+lr|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.55,3000,100,5e-05,pure
6.1,58.2,5.61,32.8,100,134,153.4,boundary+composition+lr|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.55,3000,100,5e-05,all
6.33,56.0,5.61,32.8,100,134,154.6,boundary+lr+freshness|AEP|low_vol|sf=0.55|st=3000|cap=100|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.55,3000,100,5e-05,fresh
6.34,59.7,5.61,32.8,193,134,171.9,boundary|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=None|pure,boundary,AEP,low_vol,0.55,3000,200,,pure
6.07,62.7,5.61,32.8,200,134,175.1,boundary+composition|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=None|all,boundary+composition,AEP,low_vol,0.55,3000,200,,all
6.41,60.4,5.61,32.8,193,134,170.9,boundary+freshness|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=None|fresh,boundary+freshness,AEP,low_vol,0.55,3000,200,,fresh
6.21,57.5,5.61,32.8,193,134,173.5,boundary+lr|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.55,3000,200,5e-05,pure
6.01,61.2,5.61,32.8,200,134,174.3,boundary+composition+lr|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.55,3000,200,5e-05,all
6.31,58.2,5.61,32.8,193,134,222.7,boundary+lr+freshness|AEP|low_vol|sf=0.55|st=3000|cap=200|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.55,3000,200,5e-05,fresh
6.35,62.7,5.61,32.8,100,134,311.0,boundary|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=None|pure,boundary,AEP,low_vol,0.55,6000,100,,pure
6.21,59.0,5.61,32.8,100,134,315.1,boundary+composition|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=None|all,boundary+composition,AEP,low_vol,0.55,6000,100,,all
6.43,61.9,5.61,32.8,100,134,315.4,boundary+freshness|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=None|fresh,boundary+freshness,AEP,low_vol,0.55,6000,100,,fresh
6.24,61.9,5.61,32.8,100,134,317.4,boundary+lr|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.55,6000,100,5e-05,pure
6.21,59.7,5.61,32.8,100,134,317.6,boundary+composition+lr|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.55,6000,100,5e-05,all
6.46,61.2,5.61,32.8,100,134,316.7,boundary+lr+freshness|AEP|low_vol|sf=0.55|st=6000|cap=100|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.55,6000,100,5e-05,fresh
6.55,61.9,5.61,32.8,193,134,549.6,boundary|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=None|pure,boundary,AEP,low_vol,0.55,6000,200,,pure
6.12,61.9,5.61,32.8,200,134,571.8,boundary+composition|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=None|all,boundary+composition,AEP,low_vol,0.55,6000,200,,all
6.56,62.7,5.61,32.8,193,134,385.4,boundary+freshness|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=None|fresh,boundary+freshness,AEP,low_vol,0.55,6000,200,,fresh
6.49,63.4,5.61,32.8,193,134,350.2,boundary+lr|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.55,6000,200,5e-05,pure
6.04,64.9,5.61,32.8,200,134,360.3,boundary+composition+lr|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.55,6000,200,5e-05,all
6.42,61.2,5.61,32.8,193,134,350.1,boundary+lr+freshness|AEP|low_vol|sf=0.55|st=6000|cap=200|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.55,6000,200,5e-05,fresh
5.34,66.7,5.38,35.6,100,90,155.2,boundary|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=None|pure,boundary,AEP,low_vol,0.7,3000,100,,pure
5.9,53.3,5.38,35.6,100,90,156.1,boundary+composition|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=None|all,boundary+composition,AEP,low_vol,0.7,3000,100,,all
5.82,56.7,5.38,35.6,100,90,154.9,boundary+freshness|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=None|fresh,boundary+freshness,AEP,low_vol,0.7,3000,100,,fresh
5.36,64.4,5.38,35.6,100,90,154.4,boundary+lr|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.7,3000,100,5e-05,pure
5.67,54.4,5.38,35.6,100,90,156.5,boundary+composition+lr|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.7,3000,100,5e-05,all
5.74,55.6,5.38,35.6,100,90,157.2,boundary+lr+freshness|AEP|low_vol|sf=0.7|st=3000|cap=100|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.7,3000,100,5e-05,fresh
5.71,55.6,5.38,35.6,200,90,173.8,boundary|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=None|pure,boundary,AEP,low_vol,0.7,3000,200,,pure
5.35,60.0,5.38,35.6,200,90,176.2,boundary+composition|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=None|all,boundary+composition,AEP,low_vol,0.7,3000,200,,all
5.31,70.0,5.38,35.6,200,90,176.5,boundary+freshness|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=None|fresh,boundary+freshness,AEP,low_vol,0.7,3000,200,,fresh
5.69,60.0,5.38,35.6,200,90,176.6,boundary+lr|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.7,3000,200,5e-05,pure
5.24,64.4,5.38,35.6,200,90,176.2,boundary+composition+lr|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.7,3000,200,5e-05,all
5.29,65.6,5.38,35.6,200,90,204.7,boundary+lr+freshness|AEP|low_vol|sf=0.7|st=3000|cap=200|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.7,3000,200,5e-05,fresh
5.36,70.0,5.38,35.6,100,90,316.4,boundary|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=None|pure,boundary,AEP,low_vol,0.7,6000,100,,pure
5.88,53.3,5.38,35.6,100,90,316.5,boundary+composition|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=None|all,boundary+composition,AEP,low_vol,0.7,6000,100,,all
