mape,dir_acc,mape_pers,pers_dir,n_train,n_test,secs,tag,ticker,regime,steps,cap,lr,pers_mape
5.32,68.9,5.38,35.6,100,90,174.7,AEP|low_vol|st=3000|cap=100|lr=None,AEP,low_vol,3000,100,,5.38
5.63,63.3,5.38,35.6,200,90,288.1,AEP|low_vol|st=3000|cap=200|lr=None,AEP,low_vol,3000,200,,5.38
5.39,70.0,5.38,35.6,100,90,364.9,AEP|low_vol|st=6000|cap=100|lr=None,AEP,low_vol,6000,100,,5.38
5.68,63.3,5.38,35.6,200,90,396.9,AEP|low_vol|st=6000|cap=200|lr=None,AEP,low_vol,6000,200,,5.38
5.7,69.4,5.73,38.8,100,98,194.5,AEP|normal|st=3000|cap=100|lr=None,AEP,normal,3000,100,,5.73
5.71,65.3,5.73,38.8,162,98,189.7,AEP|normal|st=3000|cap=200|lr=None,AEP,normal,3000,200,,5.73
5.63,67.3,5.73,38.8,100,98,374.0,AEP|normal|st=6000|cap=100|lr=None,AEP,normal,6000,100,,5.73
5.62,70.4,5.73,38.8,162,98,367.4,AEP|normal|st=6000|cap=200|lr=None,AEP,normal,6000,200,,5.73
6.32,64.6,6.56,35.4,29,48,171.0,AEP|high_vol_stress|st=3000|cap=100|lr=None,AEP,high_vol_stress,3000,100,,6.56
6.59,60.4,6.56,35.4,29,48,183.3,AEP|high_vol_stress|st=3000|cap=200|lr=None,AEP,high_vol_stress,3000,200,,6.56
6.26,77.1,6.56,35.4,29,48,496.6,AEP|high_vol_stress|st=6000|cap=100|lr=None,AEP,high_vol_stress,6000,100,,6.56
6.69,62.5,6.56,35.4,29,48,572.7,AEP|high_vol_stress|st=6000|cap=200|lr=None,AEP,high_vol_stress,6000,200,,6.56
9.03,64.7,9.33,24.7,100,85,231.3,NVR|low_vol|st=3000|cap=100|lr=None,NVR,low_vol,3000,100,,9.33
9.4,60.0,9.33,24.7,200,85,211.9,NVR|low_vol|st=3000|cap=200|lr=None,NVR,low_vol,3000,200,,9.33
9.05,62.4,9.33,24.7,100,85,396.9,NVR|low_vol|st=6000|cap=100|lr=None,NVR,low_vol,6000,100,,9.33
9.23,57.6,9.33,24.7,200,85,422.8,NVR|low_vol|st=6000|cap=200|lr=None,NVR,low_vol,6000,200,,9.33
8.07,62.6,7.08,31.9,100,91,199.3,NVR|normal|st=3000|cap=100|lr=None,NVR,normal,3000,100,,7.08
7.74,72.5,7.08,31.9,186,91,235.2,NVR|normal|st=3000|cap=200|lr=None,NVR,normal,3000,200,,7.08
8.28,61.5,7.08,31.9,100,91,459.5,NVR|normal|st=6000|cap=100|lr=None,NVR,normal,6000,100,,7.08
7.8,68.1,7.08,31.9,186,91,584.7,NVR|normal|st=6000|cap=200|lr=None,NVR,normal,6000,200,,7.08
11.02,70.3,11.66,35.1,77,37,169.1,NVR|high_vol_stress|st=3000|cap=100|lr=None,NVR,high_vol_stress,3000,100,,11.66
11.18,67.6,11.66,35.1,77,37,165.5,NVR|high_vol_stress|st=3000|cap=200|lr=None,NVR,high_vol_stress,3000,200,,11.66
11.22,70.3,11.66,35.1,77,37,298.1,NVR|high_vol_stress|st=6000|cap=100|lr=None,NVR,high_vol_stress,6000,100,,11.66
11.34,67.6,11.66,35.1,77,37,372.2,NVR|high_vol_stress|st=6000|cap=200|lr=None,NVR,high_vol_stress,6000,200,,11.66
8.76,70.7,9.05,35.4,100,82,207.5,FICO|low_vol|st=3000|cap=100|lr=None,FICO,low_vol,3000,100,,9.05
8.9,64.6,9.05,35.4,200,82,408.0,FICO|low_vol|st=3000|cap=200|lr=None,FICO,low_vol,3000,200,,9.05
8.82,68.3,9.05,35.4,100,82,419.6,FICO|low_vol|st=6000|cap=100|lr=None,FICO,low_vol,6000,100,,9.05
8.92,61.0,9.05,35.4,200,82,573.7,FICO|low_vol|st=6000|cap=200|lr=None,FICO,low_vol,6000,200,,9.05
12.14,57.7,11.13,26.8,100,97,250.5,FICO|normal|st=3000|cap=100|lr=None,FICO,normal,3000,100,,11.13
12.34,42.3,11.13,26.8,197,97,195.8,FICO|normal|st=3000|cap=200|lr=None,FICO,normal,3000,200,,11.13
12.31,58.8,11.13,26.8,100,97,354.1,FICO|normal|st=6000|cap=100|lr=None,FICO,normal,6000,100,,11.13
12.28,47.4,11.13,26.8,197,97,384.0,FICO|normal|st=6000|cap=200|lr=None,FICO,normal,6000,200,,11.13
17.44,64.7,14.92,32.4,73,34,171.3,FICO|high_vol_stress|st=3000|cap=100|lr=None,FICO,high_vol_stress,3000,100,,14.92
17.39,64.7,14.92,32.4,73,34,169.7,FICO|high_vol_stress|st=3000|cap=200|lr=None,FICO,high_vol_stress,3000,200,,14.92
16.98,61.8,14.92,32.4,73,34,360.1,FICO|high_vol_stress|st=6000|cap=100|lr=None,FICO,high_vol_stress,6000,100,,14.92
17.3,61.8,14.92,32.4,73,34,362.0,FICO|high_vol_stress|st=6000|cap=200|lr=None,FICO,high_vol_stress,6000,200,,14.92
