regime,avg_sector_corr,median_sector_corr,sector_a,sector_b,corr
high_vol_stress,0.6507803125457382,0.6463051390956907,,,
high_vol_stress,,,Communication Services,Consumer Discretionary,0.7514098291586006
high_vol_stress,,,Communication Services,Consumer Staples,0.6233075178230335
high_vol_stress,,,Communication Services,Energy,0.6176382474945051
high_vol_stress,,,Communication Services,Financials,0.6772062064850345
high_vol_stress,,,Communication Services,Health Care,0.7185239576089548
high_vol_stress,,,Communication Services,Industrials,0.6627549086086034
high_vol_stress,,,Communication Services,Information Technology,0.6355824460658481
high_vol_stress,,,Communication Services,Materials,0.5998535263086677
high_vol_stress,,,Communication Services,Utilities,0.5975648659903416
high_vol_stress,,,Consumer Discretionary,Consumer Staples,0.6913266876147657
high_vol_stress,,,Consumer Discretionary,Energy,0.6163602499866013
high_vol_stress,,,Consumer Discretionary,Financials,0.7356299668497399
high_vol_stress,,,Consumer Discretionary,Health Care,0.5476886513611877
high_vol_stress,,,Consumer Discretionary,Industrials,0.6883788369976507
high_vol_stress,,,Consumer Discretionary,Information Technology,0.6761577660151066
high_vol_stress,,,Consumer Discretionary,Materials,0.7007784936055247
high_vol_stress,,,Consumer Discretionary,Utilities,0.6078426349401853
high_vol_stress,,,Consumer Staples,Energy,0.7177880067150861
high_vol_stress,,,Consumer Staples,Financials,0.81540600238896
high_vol_stress,,,Consumer Staples,Health Care,0.6304355312886595
high_vol_stress,,,Consumer Staples,Industrials,0.743460814629724
high_vol_stress,,,Consumer Staples,Information Technology,0.7664213300421404
high_vol_stress,,,Consumer Staples,Materials,0.6386558040866105
high_vol_stress,,,Consumer Staples,Utilities,0.5325498946340161
high_vol_stress,,,Energy,Financials,0.7083504567323403
high_vol_stress,,,Energy,Health Care,0.6463051390956907
high_vol_stress,,,Energy,Industrials,0.669525628510999
high_vol_stress,,,Energy,Information Technology,0.642002648710495
high_vol_stress,,,Energy,Materials,0.5499463491944281
high_vol_stress,,,Energy,Utilities,0.40615821517601314
high_vol_stress,,,Financials,Health Care,0.6959388051360146
high_vol_stress,,,Financials,Industrials,0.8010782057160165
high_vol_stress,,,Financials,Information Technology,0.8127014684276902
high_vol_stress,,,Financials,Materials,0.7414767632825066
high_vol_stress,,,Financials,Utilities,0.7205673932632487
high_vol_stress,,,Health Care,Industrials,0.6104417785141529
high_vol_stress,,,Health Care,Information Technology,0.5811966090474925
high_vol_stress,,,Health Care,Materials,0.5631209512014556
high_vol_stress,,,Health Care,Utilities,0.530602243654588
high_vol_stress,,,Industrials,Information Technology,0.7292631124247656
high_vol_stress,,,Industrials,Materials,0.6619330881165775
high_vol_stress,,,Industrials,Utilities,0.5643663128468405
high_vol_stress,,,Information Technology,Materials,0.5792029506152649
high_vol_stress,,,Information Technology,Utilities,0.6376521872324409
high_vol_stress,,,Materials,Utilities,0.4405615809596542
