ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision,adv_dollar_21,adv_shares_21,last_close,as_of,liquidity_score,illiquid,factor_quality,factor_value
RF,Financials,False,True,False,,0.15,0.15,0.2,8.0,0.72,7.5,1.1,0.12,0.6,0.6,0.9,0.72,0.5333333333333333,True,True,True,True,0.6563333333333333,1.0,1.0,1.0,True,True,True,True,1.0,0.167,1.2,cheap-assets,0.03,0.921,0.0,0.12,prefer_add,INCLUDE_CORE,303272812.28043073,9796289.42857143,30.850000381469727,2026-07-30,0.3028169014084507,False,0.4953271028037383,0.8125
AFL,Financials,False,True,False,,0.16,0.12,0.4,12.0,0.85,8.5,1.5,0.15,0.64,0.48,0.8,0.85,0.8,True,False,True,False,0.6635,1.0,1.0,1.0,True,True,True,True,1.0,0.286,1.4,cheap-assets,0.03,0.8449,0.0,0.12,prefer_add,INCLUDE_VALUE,219254624.1980179,1779650.619047619,127.36000061035156,2026-07-30,0.23943661971830985,False,0.5420560747663551,0.78125
HPQ,Information Technology,False,True,True,quality_growth,0.2,0.15,0.8,8.0,0.7,7.0,1.4,0.6,0.8,0.6,0.6,0.7,0.5333333333333333,True,True,True,True,0.6683333333333333,1.0,1.0,0.8666666666666667,True,True,False,False,0.96,0.444,1.8,,0.0,0.7996,0.0,0.12,prefer_add,INCLUDE_QUALITY,352941371.9497282,14003396.523809524,26.860000610351562,2026-07-30,0.3591549295774648,False,0.6682242990654206,0.8541666666666666
HMC,Consumer Discretionary,True,True,False,,0.08,0.06,0.5,20.0,0.75,6.5,0.6,0.24,0.32,0.24,0.75,0.75,1.0,False,False,True,False,0.493,1.0,1.0,1.0,True,True,True,True,1.0,0.333,1.5,cheap-assets,0.03,0.7511,0.1208,0.12,prefer_add,INCLUDE_VALUE,37250260.986406855,1266349.0,30.719999313354492,2026-07-30,0.06338028169014084,True,0.17289719626168223,0.9166666666666666
NUE,Materials,False,True,False,,0.18,0.14,0.3,15.0,0.55,6.0,1.6,1.0,0.72,0.56,0.85,0.55,1.0,True,False,True,False,0.6940000000000001,1.0,0.9555555555555556,0.3333333333333333,True,False,False,False,0.7866666666666666,0.231,1.3,,0.0,0.7357,0.0,0.08,hold_or_add,SATELLITE,306277975.94990176,1293656.5714285714,257.0400085449219,2026-07-30,0.31690140845070425,False,0.602803738317757,0.96875
XLF,Financials,False,True,False,,0.12,0.1,0.8,8.0,0.8,10.0,1.5,0.15,0.48,0.4,0.6,0.8,0.5333333333333333,False,False,True,False,0.5273333333333333,0.925925925925926,1.0,1.0,False,True,True,False,0.9703703703703704,0.444,1.8,mixed-assets,0.0,0.7267,0.0,0.08,hold_or_add,SATELLITE,1844933118.157092,32820475.95238095,57.0,2026-07-30,0.8380281690140845,False,0.34579439252336447,0.6145833333333334
DVN,Energy,False,True,False,,0.18,0.12,0.5,10.0,0.5,4.5,1.5,0.9,0.72,0.48,0.75,0.5,0.6666666666666666,True,False,True,False,0.6141666666666666,1.0,1.0,0.4666666666666667,True,True,False,False,0.84,0.333,1.5,,0.0,0.7158,0.0,0.08,hold_or_add,SATELLITE,458792555.3673866,10606717.666666666,44.16999816894531,2026-07-30,0.4647887323943662,False,0.602803738317757,1.0
PFE,Health Care,True,True,False,,0.12,0.1,0.6,9.0,0.75,9.0,1.6,0.665,0.48,0.4,0.7,0.75,0.6,False,False,True,False,0.5415,1.0,0.9555555555555556,0.7799999999999999,True,False,False,False,0.9206666666666666,0.375,1.6,,0.0,0.7121,0.0981,0.08,hold_or_add,SATELLITE,933987708.7861712,37788740.76190476,24.90999984741211,2026-07-30,0.6901408450704225,False,0.34579439252336447,0.71875
MU,Information Technology,False,False,True,starlink_supply,0.16,0.12,0.3,10.0,0.45,6.5,1.8,0.9,0.64,0.48,0.85,0.45,0.6666666666666666,True,False,True,False,0.5976666666666666,1.0,0.8666666666666667,0.4666666666666667,True,False,False,False,0.8,0.231,1.3,,0.0,0.6887,0.0,0.08,hold,SATELLITE,40471489742.83383,44599182.28571428,874.6599731445312,2026-07-30,1.0,False,0.5420560747663551,0.9166666666666666
XLE,Energy,False,True,False,,0.14,0.1,0.5,12.0,0.65,7.0,1.8,0.9,0.56,0.4,0.75,0.65,0.8,False,False,True,False,0.5780000000000001,1.0,0.8666666666666667,0.4666666666666667,True,False,False,False,0.8,0.333,1.5,,0.0,0.6779,0.0,0.08,hold,SATELLITE,1666235619.6433833,29216604.333333332,58.959999084472656,2026-07-30,0.823943661971831,False,0.4392523364485981,0.8541666666666666
