as_of_date,n,buffett,trifecta,dual,value,quality,median_composite
2024-06-30,115,17,11,0,11,17,0.5657
2024-09-30,115,18,11,0,11,18,0.5474
2024-12-31,115,14,11,0,11,14,0.5604
2025-03-31,115,17,13,0,13,17,0.5518
2025-06-30,115,17,11,0,11,17,0.5622
2025-09-30,115,15,10,0,10,15,0.5639
2025-12-31,115,18,11,0,11,18,0.5519
2026-03-31,115,18,9,0,9,18,0.5494
2026-06-30,115,16,13,0,13,16,0.5554
2026-07-28,75,12,9,0,9,12,0.5566
2026-07-29,67,13,9,5,4,8,0.5062
2026-07-30,89,12,0,0,0,12,0.3724
2026-07-31,92,12,0,0,0,12,0.36685
