,Communication Services,Consumer Discretionary,Consumer Staples,ETF,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Multi-Sector,Real Estate,Utilities
Communication Services,1.0,0.13231965381346447,0.27841349515344754,0.13655867889022044,0.203552273263603,0.2047958054110947,0.1093899409982629,0.09274054063779331,0.27960574597494237,0.3709569748999482,0.27104543880347953,0.18252189852265915,0.19783651362354074
Consumer Discretionary,0.13231965381346447,1.0,0.6677544345179367,0.9607701451010126,0.7876144835898247,0.9000572929236574,0.8846511257345867,0.8893847630525489,0.760311803381131,-0.14387415980282448,0.924737846869218,0.9025095257824005,0.7997432253423303
Consumer Staples,0.27841349515344754,0.6677544345179367,1.0,0.6945233919855991,0.6083706943099679,0.7014570830121584,0.6638800168522216,0.6220515709431381,0.5686411746760254,0.15146008416061008,0.8860987204685534,0.7140948183665171,0.6621311980094681
ETF,0.13655867889022044,0.9607701451010126,0.6945233919855991,1.0,0.8952303066927864,0.9317772784265069,0.9679579285139409,0.9734702399802904,0.9233227095238977,-0.3049502640553147,0.8970730301900054,0.9126325547755928,0.9000669973726495
Energy,0.203552273263603,0.7876144835898247,0.6083706943099679,0.8952303066927864,1.0,0.8374669642846465,0.8485333283569996,0.8691554172940399,0.7699594952497971,-0.012318024480401186,0.8975652060443732,0.8689907620337447,0.7950617096347996
Financials,0.2047958054110947,0.9000572929236574,0.7014570830121584,0.9317772784265069,0.8374669642846465,1.0,0.8974259549456126,0.9011532824096334,0.7993681587648239,-0.0527695477077299,0.9567876518107454,0.9201626870684019,0.8339193018217226
Health Care,0.1093899409982629,0.8846511257345867,0.6638800168522216,0.9679579285139409,0.8485333283569996,0.8974259549456126,1.0,0.963990456000093,0.8014948455055573,-0.207071171502351,0.9007030112192848,0.9080456844049364,0.8583272429581338
Industrials,0.09274054063779331,0.8893847630525489,0.6220515709431381,0.9734702399802904,0.8691554172940399,0.9011532824096334,0.963990456000093,1.0,0.8046317592835313,-0.22591802941104921,0.8946313365772618,0.9147283308942117,0.8652833054724718
Information Technology,0.27960574597494237,0.760311803381131,0.5686411746760254,0.9233227095238977,0.7699594952497971,0.7993681587648239,0.8014948455055573,0.8046317592835313,1.0,0.0018228221588439072,0.8629862359461993,0.8335308299430679,0.7190514761229135
Materials,0.3709569748999482,-0.14387415980282448,0.15146008416061008,-0.3049502640553147,-0.012318024480401186,-0.0527695477077299,-0.207071171502351,-0.22591802941104921,0.0018228221588439072,1.0,-0.05625934710230353,-0.1758128047546719,-0.13496407724530354
Multi-Sector,0.27104543880347953,0.924737846869218,0.8860987204685534,0.8970730301900054,0.8975652060443732,0.9567876518107454,0.9007030112192848,0.8946313365772618,0.8629862359461993,-0.05625934710230353,1.0,0.9285161160847892,0.9119159276337596
Real Estate,0.18252189852265915,0.9025095257824005,0.7140948183665171,0.9126325547755928,0.8689907620337447,0.9201626870684019,0.9080456844049364,0.9147283308942117,0.8335308299430679,-0.1758128047546719,0.9285161160847892,1.0,0.8882607806632862
Utilities,0.19783651362354074,0.7997432253423303,0.6621311980094681,0.9000669973726495,0.7950617096347996,0.8339193018217226,0.8583272429581338,0.8652833054724718,0.7190514761229135,-0.13496407724530354,0.9119159276337596,0.8882607806632862,1.0
