ticker,regime,label,dual_pass,n_failed,failed_legs,pass_roe,pass_roic,pass_de,pass_ev,pass_pb,pass_mca,roe_gap,roic_gap,de_gap,ev_gap,pb_gap,mca_gap,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets
CF,normal,base_dual_pass,False,2,"pb,mca",True,True,True,True,False,False,0.1,0.0,0.5,0.5,-1.2999999999999998,-0.804,0.25,0.15,0.5,8.5,2.8,1.304
AEP,normal,base_dual_pass,False,5,"roe,roic,de,ev,pb",False,False,False,False,False,True,-0.04999999999999999,-0.09999999999999999,-0.5,-2.5,-0.30000000000000004,0.0,0.1,0.05,1.5,11.5,1.8,0.5
D,normal,base_dual_pass,False,4,"roe,roic,de,ev",False,False,False,False,True,True,,,,-2.0,0.0,0.09100000000000003,,,,11.0,1.5,0.409
PFE,normal,base_dual_pass,False,4,"roe,roic,pb,mca",False,False,True,True,False,False,-0.03,-0.04999999999999999,0.4,0.0,-0.10000000000000009,-0.16500000000000004,0.12,0.1,0.6,9.0,1.6,0.665
TRV,normal,base_dual_pass,False,3,"roe,roic,pb",False,False,True,True,False,True,-0.009999999999999981,-0.04999999999999999,0.7,0.0,-0.3999999999999999,0.07700000000000001,0.14,0.1,0.3,9.0,1.9,0.423
ALL,normal,base_dual_pass,False,3,"roe,roic,pb",False,False,True,True,False,True,-0.03,-0.06,0.65,0.5,-0.7000000000000002,0.04299999999999998,0.12,0.09,0.35,8.5,2.2,0.457
MCD,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,1.05,0.03,-3.0,-9.0,-13.5,-3.318,1.2,0.18,4.0,18.0,15.0,3.818
SBUX,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.25,-0.009999999999999981,-1.5,-7.0,-10.5,-3.167,0.4,0.14,2.5,16.0,12.0,3.667
NKE,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.15,0.03,0.4,-11.0,-6.5,-2.375,0.3,0.18,0.6,20.0,8.0,2.875
TGT,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.1,-0.03,-0.19999999999999996,-1.0,-2.0,-0.7729999999999999,0.25,0.12,1.2,10.0,3.5,1.273
DG,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.05000000000000002,-0.04999999999999999,0.0,-2.0,-2.5,-0.611,0.2,0.1,1.0,11.0,4.0,1.111
COST,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.13000000000000003,0.010000000000000009,0.6,-19.0,-12.5,-5.071,0.28,0.16,0.4,28.0,14.0,5.571
JPM,normal,base_dual_pass,False,4,"roic,de,ev,pb",True,False,False,False,False,True,0.0,-0.03,-0.19999999999999996,-1.0,-0.30000000000000004,0.35,0.15,0.12,1.2,10.0,1.8,0.15
BAC,normal,base_dual_pass,False,3,"roe,roic,de",False,False,False,True,True,True,-0.04999999999999999,-0.06999999999999999,-0.10000000000000009,0.0,0.30000000000000004,0.397,0.1,0.08,1.1,9.0,1.2,0.103
C,normal,base_dual_pass,False,3,"roe,roic,de",False,False,False,True,True,True,-0.07999999999999999,-0.09999999999999999,-0.30000000000000004,2.0,0.8,0.45,0.07,0.05,1.3,7.0,0.7,0.05
CB,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.01999999999999999,-0.04999999999999999,0.7,-1.0,-0.30000000000000004,-0.050000000000000044,0.13,0.1,0.3,10.0,1.8,0.55
BLK,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.07,0.03,0.8,-7.0,-2.0,-0.577,0.22,0.18,0.2,16.0,3.5,1.077
BX,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,,,,-9.0,-10.5,-3.75,,,,18.0,12.0,4.25
XOM,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.010000000000000009,-0.03,0.75,2.5,-0.5,-0.7110000000000001,0.16,0.12,0.25,6.5,2.0,1.211
CVX,normal,base_dual_pass,False,4,"roe,roic,pb,mca",False,False,True,True,False,False,-0.009999999999999981,-0.039999999999999994,0.8,3.0,-0.19999999999999996,-0.615,0.14,0.11,0.2,6.0,1.7,1.115
SHEL,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.03,-0.04999999999999999,0.65,3.5,0.30000000000000004,-0.050000000000000044,0.12,0.1,0.35,5.5,1.2,0.55
PLD,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.06999999999999999,-0.09999999999999999,0.4,-13.0,-1.0,-0.722,0.08,0.05,0.6,22.0,2.5,1.222
O,normal,base_dual_pass,False,5,"roe,roic,de,ev,mca",False,False,False,False,True,False,-0.09999999999999999,-0.10999999999999999,-0.19999999999999996,-6.0,0.10000000000000009,-0.21399999999999997,0.05,0.04,1.2,15.0,1.4,0.714
LLY,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.4,0.15,-0.5,-26.0,-43.5,-10.071,0.55,0.3,1.5,35.0,45.0,10.571
VNQ,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.09,-0.10999999999999999,0.19999999999999996,,,-0.5,0.06,0.04,0.8,,,1.0
UNH,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.1,0.03,0.30000000000000004,-6.0,-4.0,-1.1,0.25,0.18,0.7,15.0,5.5,1.6
CAT,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.25,0.03,-0.5,-4.0,-6.5,-1.5,0.4,0.18,1.5,13.0,8.0,2.0
T,normal,base_dual_pass,False,3,"roe,roic,de",False,False,False,True,True,True,-0.04999999999999999,-0.09,-0.19999999999999996,2.0,0.19999999999999996,0.062,0.1,0.06,1.2,7.0,1.3,0.438
PG,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.03,0.010000000000000009,0.44999999999999996,-9.0,-6.0,-2.75,0.18,0.16,0.55,18.0,7.5,3.25
JNJ,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.07,0.0,0.55,-5.0,-3.7,-1.5270000000000001,0.22,0.15,0.45,14.0,5.2,2.027
KO,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.23,0.0,-0.3999999999999999,-11.0,-9.0,-2.357,0.38,0.15,1.4,20.0,10.5,2.857
VZ,normal,base_dual_pass,False,3,"roic,de,pb",True,False,False,True,False,True,0.05000000000000002,-0.06999999999999999,-0.8,1.5,-0.30000000000000004,0.03899999999999998,0.2,0.08,1.8,7.5,1.8,0.461
PEP,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.35,-0.009999999999999981,-0.6000000000000001,-8.0,-10.5,-1.7999999999999998,0.5,0.14,1.6,17.0,12.0,2.3
MMM,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.1,-0.03,-0.19999999999999996,-2.0,-2.5,-0.95,0.25,0.12,1.2,11.0,4.0,1.45
